# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinning face;face|grin|grinning face
	👩🏼‍🏫;woman teacher: medium-light skin tone;instructor|lecturer|medium-light skin tone|professor|teacher|woman|woman teacher: medium-light skin tone
	👩🏽‍🏫;woman teacher: medium skin tone;instructor|lecturer|medium skin tone|professor|teacher|woman|woman teacher: medium skin tone
	👩🏾‍🏫;woman teacher: medium-dark skin tone;instructor|lecturer|medium-dark skin tone|professor|teacher|woman|woman teacher: medium-dark skin tone
	👩🏿‍🏫;woman teacher: dark skin tone;dark skin tone|instructor|lecturer|professor|teacher|woman|woman teacher: dark skin tone
🧑‍⚖️;judge;judge|justice|law|scales
	🧑🏻‍⚖️;judge: light skin tone;judge|judge: light skin tone|justice|law|light skin tone|scales
	🧑🏼‍⚖️;judge: medium-light skin tone;judge|judge: medium-light skin tone|justice|law|medium-light skin tone|scales
	🧑🏽‍⚖️;judge: medium skin tone;judge|judge: medium skin tone|justice|law|medium skin tone|scales
	🧑🏾‍⚖️;judge: medium-dark skin tone;judge|judge: medium-dark skin tone|justice|law|medium-dark skin tone|scales
	🧑🏿‍⚖️;judge: dark skin tone;dark skin tone|judge|judge: dark skin tone|justice|law|scales
👨‍⚖️;man judge;judge|justice|law|man|scales
	👨🏻‍⚖️;man judge: light skin tone;judge|justice|law|light skin tone|man|man judge: light skin tone|scales
	👨🏼‍⚖️;man judge: medium-light skin tone;judge|justice|law|man|man judge: medium-light skin tone|medium-light skin tone|scales
	👨🏽‍⚖️;man judge: medium skin tone;judge|justice|law|man|man judge: medium skin tone|medium skin tone|scales
	👨🏾‍⚖️;man judge: medium-dark skin tone;judge|justice|law|man|man judge: medium-dark skin tone|medium-dark skin tone|scales
	👨🏿‍⚖️;man judge: dark skin tone;dark skin tone|judge|justice|law|man|man judge: dark skin tone|scales
👩‍⚖️;woman judge;judge|justice|law|scales|woman
	👩🏻‍⚖️;woman judge: light skin tone;judge|justice|law|light skin tone|scales|woman|woman judge: light skin tone
	👩🏼‍⚖️;woman judge: medium-light skin tone;judge|justice|law|medium-light skin tone|scales|woman|woman judge: medium-light skin tone
	👩🏽‍⚖️;woman judge: medium skin tone;judge|justice|law|medium skin tone|scales|woman|woman judge: medium skin tone
	👩🏾‍⚖️;woman judge: medium-dark skin tone;judge|justice|law|medium-dark skin tone|scales|woman|woman judge: medium-dark skin tone
	👩🏿‍⚖️;woman judge: dark skin tone;dark skin tone|judge|justice|law|scales|woman|woman judge: dark skin tone
🧑‍🌾;farmer;farmer|gardener|rancher
	🧑🏻‍🌾;farmer: light skin tone;farmer|farmer: light skin tone|gardener|light skin tone|rancher
	🧑🏼‍🌾;farmer: medium-light skin tone;farmer|farmer: medium-light skin tone|gardener|medium-light skin tone|rancher
	🧑🏽‍🌾;farmer: medium skin tone;farmer|farmer: medium skin tone|gardener|medium skin tone|rancher
	🧑🏾‍🌾;farmer: medium-dark skin tone;farmer|farmer: medium-dark skin tone|gardener|medium-dark skin tone|rancher
	🧑🏿‍🌾;farmer: dark skin tone;dark skin tone|farmer|farmer: dark skin tone|gardener|rancher
👨‍🌾;man farmer;farmer|gardener|man|rancher
	👨🏻‍🌾;man farmer: light skin tone;farmer|gardener|light skin tone|man|man farmer: light skin tone|rancher
	👨🏼‍🌾;man farmer: medium-light skin tone;farmer|gardener|man|man farmer: medium-light skin tone|medium-light skin tone|rancher
	👨🏽‍🌾;man farmer: medium skin tone;farmer|gardener|man|man farmer: medium skin tone|medium skin tone|rancher
	👨🏾‍🌾;man farmer: medium-dark skin tone;farmer|gardener|man|man farmer: medium-dark skin tone|medium-dark skin tone|rancher
	👨🏿‍🌾;man farmer: dark skin tone;dark skin tone|farmer|gardener|man|man farmer: dark skin tone|rancher
👩‍🌾;woman farmer;farmer|gardener|rancher|woman
	👩🏻‍🌾;woman farmer: light skin tone;farmer|gardener|light skin tone|rancher|woman|woman farmer: light skin tone
	👩🏼‍🌾;woman farmer: medium-light skin tone;farmer|gardener|medium-light skin tone|rancher|woman|woman farmer: medium-light skin tone
	👩🏽‍🌾;woman farmer: medium skin tone;farmer|gardener|medium skin tone|rancher|woman|woman farmer: medium skin tone
	👩🏾‍🌾;woman farmer: medium-dark skin tone;farmer|gardener|medium-dark skin tone|rancher|woman|woman farmer: medium-dark skin tone
	👩🏿‍🌾;woman farmer: dark skin tone;dark skin tone|farmer|gardener|rancher|woman|woman farmer: dark skin tone
🧑‍🍳;cook;chef|cook
	🧑🏻‍🍳;cook: light skin tone;chef|cook|cook: light skin tone|light skin tone
	🧑🏼‍🍳;cook: medium-light skin tone;chef|cook|cook: medium-light skin tone|medium-light skin tone
	🧑🏽‍🍳;cook: medium skin tone;chef|cook|cook: medium skin tone|medium skin tone
	🧑🏾‍🍳;cook: medium-dark skin tone;chef|cook|cook: medium-dark skin tone|medium-dark skin tone
	🧑🏿‍🍳;cook: dark skin tone;chef|cook|cook: dark skin tone|dark skin tone
👨‍🍳;man cook;chef|cook|man
	👨🏻‍🍳;man cook: light skin tone;chef|cook|light skin tone|man|man cook: light skin tone
	👨🏼‍🍳;man cook: medium-light skin tone;chef|cook|man|man cook: medium-light skin tone|medium-light skin tone
	👨🏽‍🍳;man cook: medium skin tone;chef|cook|man|man cook: medium skin tone|medium skin tone
	👨🏾‍🍳;man cook: medium-dark skin tone;chef|cook|man|man cook: medium-dark skin tone|medium-dark skin tone
	👨🏿‍🍳;man cook: dark skin tone;chef|cook|dark skin tone|man|man cook: dark skin tone
👩‍🍳;woman cook;chef|cook|woman
	👩🏻‍🍳;woman cook: light skin tone;chef|cook|light skin tone|woman|woman cook: light skin tone
	👩🏼‍🍳;woman cook: medium-light skin tone;chef|cook|medium-light skin tone|woman|woman cook: medium-light skin tone
	👩🏽‍🍳;woman cook: medium skin tone;chef|cook|medium skin tone|woman|woman cook: medium skin tone
	👩🏾‍🍳;woman cook: medium-dark skin tone;chef|cook|medium-dark skin tone|woman|woman cook: medium-dark skin tone
	👩🏿‍🍳;woman cook: dark skin tone;chef|cook|dark skin tone|woman|woman cook: dark skin tone
🧑‍🔧;mechanic;electrician|mechanic|plumber|tradesperson
	🧑🏻‍🔧;mechanic: light skin tone;electrician|light skin tone|mechanic|mechanic: light skin tone|plumber|tradesperson
	🧑🏼‍🔧;mechanic: medium-light skin tone;electrician|mechanic|mechanic: medium-light skin tone|medium-light skin tone|plumber|tradesperson
	🧑🏽‍🔧;mechanic: medium skin tone;electrician|mechanic|mechanic: medium skin tone|medium skin tone|plumber|tradesperson
	🧑🏾‍🔧;mechanic: medium-dark skin tone;electrician|mechanic|mechanic: medium-dark skin tone|medium-dark skin tone|plumber|tradesperson
	🧑🏿‍🔧;mechanic: dark skin tone;dark skin tone|electrician|mechanic|mechanic: dark skin tone|plumber|tradesperson
👨‍🔧;man mechanic;electrician|man|mechanic|plumber|tradesperson
	👨🏻‍🔧;man mechanic: light skin tone;electrician|light skin tone|man|man mechanic: light skin tone|mechanic|plumber|tradesperson
	👨🏼‍🔧;man mechanic: medium-light skin tone;electrician|man|man mechanic: medium-light skin tone|mechanic|medium-light skin tone|plumber|tradesperson
	👨🏽‍🔧;man mechanic: medium skin tone;electrician|man|man mechanic: medium skin tone|mechanic|medium skin tone|plumber|tradesperson
	👨🏾‍🔧;man mechanic: medium-dark skin tone;electrician|man|man mechanic: medium-dark skin tone|mechanic|medium-dark skin tone|plumber|tradesperson
	👨🏿‍🔧;man mechanic: dark skin tone;dark skin tone|electrician|man|man mechanic: dark skin tone|mechanic|plumber|tradesperson
👩‍🔧;woman mechanic;electrician|mechanic|plumber|tradesperson|woman
	👩🏻‍🔧;woman mechanic: light skin tone;electrician|light skin tone|mechanic|plumber|tradesperson|woman|woman mechanic: light skin tone
	👩🏼‍🔧;woman mechanic: medium-light skin tone;electrician|mechanic|medium-light skin tone|plumber|tradesperson|woman|woman mechanic: medium-light skin tone
	👩🏽‍🔧;woman mechanic: medium skin tone;electrician|mechanic|medium skin tone|plumber|tradesperson|woman|woman mechanic: medium skin tone
	👩🏾‍🔧;woman mechanic: medium-dark skin tone;electrician|mechanic|medium-dark skin tone|plumber|tradesperson|woman|woman mechanic: medium-dark skin tone
	👩🏿‍🔧;woman mechanic: dark skin tone;dark skin tone|electrician|mechanic|plumber|tradesperson|woman|woman mechanic: dark skin tone
🧑‍🏭;factory worker;assembly|factory|industrial|worker
	🧑🏻‍🏭;factory worker: light skin tone;assembly|factory|factory worker: light skin tone|industrial|light skin tone|worker
	🧑🏼‍🏭;factory worker: medium-light skin tone;assembly|factory|factory worker: medium-light skin tone|industrial|medium-light skin tone|worker
	🧑🏽‍🏭;factory worker: medium skin tone;assembly|factory|factory worker: medium skin tone|industrial|medium skin tone|worker
	🧑🏾‍🏭;factory worker: medium-dark skin tone;assembly|factory|factory worker: medium-dark skin tone|industrial|medium-dark skin tone|worker
	🧑🏿‍🏭;factory worker: dark skin tone;assembly|dark skin tone|factory|factory worker: dark skin tone|industrial|worker
👨‍🏭;man factory worker;assembly|factory|industrial|man|worker
	👨🏻‍🏭;man factory worker: light skin tone;assembly|factory|industrial|light skin tone|man|man factory worker: light skin tone|worker
	👨🏼‍🏭;man factory worker: medium-light skin tone;assembly|factory|industrial|man|man factory worker: medium-light skin tone|medium-light skin tone|worker
	👨🏽‍🏭;man factory worker: medium skin tone;assembly|factory|industrial|man|man factory worker: medium skin tone|medium skin tone|worker
	👨🏾‍🏭;man factory worker: medium-dark skin tone;assembly|factory|industrial|man|man factory worker: medium-dark skin tone|medium-dark skin tone|worker
	👨🏿‍🏭;man factory worker: dark skin tone;assembly|dark skin tone|factory|industrial|man|man factory worker: dark skin tone|worker
👩‍🏭;woman factory worker;assembly|factory|industrial|woman|worker
	👩🏻‍🏭;woman factory worker: light skin tone;assembly|factory|industrial|light skin tone|woman|woman factory worker: light skin tone|worker
	👩🏼‍🏭;woman factory worker: medium-light skin tone;assembly|factory|industrial|medium-light skin tone|woman|woman factory worker: medium-light skin tone|worker
	👩🏽‍🏭;woman factory worker: medium skin tone;assembly|factory|industrial|medium skin tone|woman|woman factory worker: medium skin tone|worker
	👩🏾‍🏭;woman factory worker: medium-dark skin tone;assembly|factory|industrial|medium-dark skin tone|woman|woman factory worker: medium-dark skin tone|worker
	👩🏿‍🏭;woman factory worker: dark skin tone;assembly|dark skin tone|factory|industrial|woman|woman factory worker: dark skin tone|worker
🧑‍💼;office worker;architect|business|manager|office worker|white-collar
	🧑🏻‍💼;office worker: light skin tone;architect|business|light skin tone|manager|office worker|office worker: light skin tone|white-collar
	🧑🏼‍💼;office worker: medium-light skin tone;architect|business|manager|medium-light skin tone|office worker|office worker: medium-light skin tone|white-collar
	🧑🏽‍💼;office worker: medium skin tone;architect|business|manager|medium skin tone|office worker|office worker: medium skin tone|white-collar
	🧑🏾‍💼;office worker: medium-dark skin tone;architect|business|manager|medium-dark skin tone|office worker|office worker: medium-dark skin tone|white-collar
	🧑🏿‍💼;office worker: dark skin tone;architect|business|dark skin tone|manager|office worker|office worker: dark skin tone|white-collar
👨‍💼;man office worker;architect|business|man|man office worker|manager|white-collar
	👨🏻‍💼;man office worker: light skin tone;architect|business|light skin tone|man|man office worker|man office worker: light skin tone|manager|white-collar
	👨🏼‍💼;man office worker: medium-light skin tone;architect|business|man|man office worker|man office worker: medium-light skin tone|manager|medium-light skin tone|white-collar
	👨🏽‍💼;man office worker: medium skin tone;architect|business|man|man office worker|man office worker: medium skin tone|manager|medium skin tone|white-collar
	👨🏾‍💼;man office worker: medium-dark skin tone;architect|business|man|man office worker|man office worker: medium-dark skin tone|manager|medium-dark skin tone|white-collar
	👨🏿‍💼;man office worker: dark skin tone;architect|business|dark skin tone|man|man office worker|man office worker: dark skin tone|manager|white-collar
👩‍💼;woman office worker;architect|business|manager|white-collar|woman|woman office worker
	👩🏻‍💼;woman office worker: light skin tone;architect|business|light skin tone|manager|white-collar|woman|woman office worker|woman office worker: light skin tone
	👩🏼‍💼;woman office worker: medium-light skin tone;architect|business|manager|medium-light skin tone|white-collar|woman|woman office worker|woman office worker: medium-light skin tone
	👩🏽‍💼;woman office worker: medium skin tone;architect|business|manager|medium skin tone|white-collar|woman|woman office worker|woman office worker: medium skin tone
	👩🏾‍💼;woman office worker: medium-dark skin tone;architect|business|manager|medium-dark skin tone|white-collar|woman|woman office worker|woman office worker: medium-dark skin tone
	👩🏿‍💼;woman office worker: dark skin tone;architect|business|dark skin tone|manager|white-collar|woman|woman office worker|woman office worker: dark skin tone
🧑‍🔬;scientist;biologist|chemist|engineer|physicist|scientist
	🧑🏻‍🔬;scientist: light skin tone;biologist|chemist|engineer|light skin tone|physicist|scientist|scientist: light skin tone
	🧑🏼‍🔬;scientist: medium-light skin tone;biologist|chemist|engineer|medium-light skin tone|physicist|scientist|scientist: medium-light skin tone
	🧑🏽‍🔬;scientist: medium skin tone;biologist|chemist|engineer|medium skin tone|physicist|scientist|scientist: medium skin tone
	🧑🏾‍🔬;scientist: medium-dark skin tone;biologist|chemist|engineer|medium-dark skin tone|physicist|scientist|scientist: medium-dark skin tone
	🧑🏿‍🔬;scientist: dark skin tone;biologist|chemist|dark skin tone|engineer|physicist|scientist|scientist: dark skin tone
👨‍🔬;man scientist;biologist|chemist|engineer|man|physicist|scientist
	👨🏻‍🔬;man scientist: light skin tone;biologist|chemist|engineer|light skin tone|man|man scientist: light skin tone|physicist|scientist
	👨🏼‍🔬;man scientist: medium-light skin tone;biologist|chemist|engineer|man|man scientist: medium-light skin tone|medium-light skin tone|physicist|scientist
	👨🏽‍🔬;man scientist: medium skin tone;biologist|chemist|engineer|man|man scientist: medium skin tone|medium skin tone|physicist|scientist
	👨🏾‍🔬;man scientist: medium-dark skin tone;biologist|chemist|engineer|man|man scientist: medium-dark skin tone|medium-dark skin tone|physicist|scientist
	👨🏿‍🔬;man scientist: dark skin tone;biologist|chemist|dark skin tone|engineer|man|man scientist: dark skin tone|physicist|scientist
👩‍🔬;woman scientist;biologist|chemist|engineer|physicist|scientist|woman
	👩🏻‍🔬;woman scientist: light skin tone;biologist|chemist|engineer|light skin tone|physicist|scientist|woman|woman scientist: light skin tone
	👩🏼‍🔬;woman scientist: medium-light skin tone;biologist|chemist|engineer|medium-light skin tone|physicist|scientist|woman|woman scientist: medium-light skin tone
	👩🏽‍🔬;woman scientist: medium skin tone;biologist|chemist|engineer|medium skin tone|physicist|scientist|woman|woman scientist: medium skin tone
	👩🏾‍🔬;woman scientist: medium-dark skin tone;biologist|chemist|engineer|medium-dark skin tone|physicist|scientist|woman|woman scientist: medium-dark skin tone
	👩🏿‍🔬;woman scientist: dark skin tone;biologist|chemist|dark skin tone|engineer|physicist|scientist|woman|woman scientist: dark skin tone
🧑‍💻;technologist;coder|developer|inventor|software|technologist
	🧑🏻‍💻;technologist: light skin tone;coder|developer|inventor|light skin tone|software|technologist|technologist: light skin tone
	🧑🏼‍💻;technologist: medium-light skin tone;coder|developer|inventor|medium-light skin tone|software|technologist|technologist: medium-light skin tone
	🧑🏽‍💻;technologist: medium skin tone;coder|developer|inventor|medium skin tone|software|technologist|technologist: medium skin tone
	🧑🏾‍💻;technologist: medium-dark skin tone;coder|developer|inventor|medium-dark skin tone|software|technologist|technologist: medium-dark skin tone
	🧑🏿‍💻;technologist: dark skin tone;coder|dark skin tone|developer|inventor|software|technologist|technologist: dark skin tone
👨‍💻;man technologist;coder|developer|inventor|man|software|technologist
	👨🏻‍💻;man technologist: light skin tone;coder|developer|inventor|light skin tone|man|man technologist: light skin tone|software|technologist
	👨🏼‍💻;man technologist: medium-light skin tone;coder|developer|inventor|man|man technologist: medium-light skin tone|medium-light skin tone|software|technologist
	👨🏽‍💻;man technologist: medium skin tone;coder|developer|inventor|man|man technologist: medium skin tone|medium skin tone|software|technologist
	👨🏾‍💻;man technologist: medium-dark skin tone;coder|developer|inventor|man|man technologist: medium-dark skin tone|medium-dark skin tone|software|technologist
	👨🏿‍💻;man technologist: dark skin tone;coder|dark skin tone|developer|inventor|man|man technologist: dark skin tone|software|technologist
👩‍💻;woman technologist;coder|developer|inventor|software|technologist|woman
	👩🏻‍💻;woman technologist: light skin tone;coder|developer|inventor|light skin tone|software|technologist|woman|woman technologist: light skin tone
	👩🏼‍💻;woman technologist: medium-light skin tone;coder|developer|inventor|medium-light skin tone|software|technologist|woman|woman technologist: medium-light skin tone
	👩🏽‍💻;woman technologist: medium skin tone;coder|developer|inventor|medium skin tone|software|technologist|woman|woman technologist: medium skin tone
	👩🏾‍💻;woman technologist: medium-dark skin tone;coder|developer|inventor|medium-dark skin tone|software|technologist|woman|woman technologist: medium-dark skin tone
	👩🏿‍💻;woman technologist: dark skin tone;coder|dark skin tone|developer|inventor|software|technologist|woman|woman technologist: dark skin tone
🧑‍🎤;singer;actor|entertainer|rock|singer|star
	🧑🏻‍🎤;singer: light skin tone;actor|entertainer|light skin tone|rock|singer|singer: light skin tone|star
	🧑🏼‍🎤;singer: medium-light skin tone;actor|entertainer|medium-light skin tone|rock|singer|singer: medium-light skin tone|star
	🧑🏽‍🎤;singer: medium skin tone;actor|entertainer|medium skin tone|rock|singer|singer: medium skin tone|star
	🧑🏾‍🎤;singer: medium-dark skin tone;actor|entertainer|medium-dark skin tone|rock|singer|singer: medium-dark skin tone|star
	🧑🏿‍🎤;singer: dark skin tone;actor|dark skin tone|entertainer|rock|singer|singer: dark skin tone|star
👨‍🎤;man singer;actor|entertainer|man|rock|singer|star
	👨🏻‍🎤;man singer: light skin tone;actor|entertainer|light skin tone|man|man singer: light skin tone|rock|singer|star
	👨🏼‍🎤;man singer: medium-light skin tone;actor|entertainer|man|man singer: medium-light skin tone|medium-light skin tone|rock|singer|star
	👨🏽‍🎤;man singer: medium skin tone;actor|entertainer|man|man singer: medium skin tone|medium skin tone|rock|singer|star
	👨🏾‍🎤;man singer: medium-dark skin tone;actor|entertainer|man|man singer: medium-dark skin tone|medium-dark skin tone|rock|singer|star
	👨🏿‍🎤;man singer: dark skin tone;actor|dark skin tone|entertainer|man|man singer: dark skin tone|rock|singer|star
👩‍🎤;woman singer;actor|entertainer|rock|singer|star|woman
	👩🏻‍🎤;woman singer: light skin tone;actor|entertainer|light skin tone|rock|singer|star|woman|woman singer: light skin tone
	👩🏼‍🎤;woman singer: medium-light skin tone;actor|entertainer|medium-light skin tone|rock|singer|star|woman|woman singer: medium-light skin tone
	👩🏽‍🎤;woman singer: medium skin tone;actor|entertainer|medium skin tone|rock|singer|star|woman|woman singer: medium skin tone
	👩🏾‍🎤;woman singer: medium-dark skin tone;actor|entertainer|medium-dark skin tone|rock|singer|star|woman|woman singer: medium-dark skin tone
	👩🏿‍🎤;woman singer: dark skin tone;actor|dark skin tone|entertainer|rock|singer|star|woman|woman singer: dark skin tone
🧑‍🎨;artist;artist|palette
	🧑🏻‍🎨;artist: light skin tone;artist|artist: light skin tone|light skin tone|palette
	🧑🏼‍🎨;artist: medium-light skin tone;artist|artist: medium-light skin tone|medium-light skin tone|palette
	🧑🏽‍🎨;artist: medium skin tone;artist|artist: medium skin tone|medium skin tone|palette
	🧑🏾‍🎨;artist: medium-dark skin tone;artist|artist: medium-dark skin tone|medium-dark skin tone|palette
	🧑🏿‍🎨;artist: dark skin tone;artist|artist: dark skin tone|dark skin tone|palette
👨‍🎨;man artist;artist|man|palette
	👨🏻‍🎨;man artist: light skin tone;artist|light skin tone|man|man artist: light skin tone|palette
	👨🏼‍🎨;man artist: medium-light skin tone;artist|man|man artist: medium-light skin tone|medium-light skin tone|palette
	👨🏽‍🎨;man artist: medium skin tone;artist|man|man artist: medium skin tone|medium skin tone|palette
	👨🏾‍🎨;man artist: medium-dark skin tone;artist|man|man artist: medium-dark skin tone|medium-dark skin tone|palette
	👨🏿‍🎨;man artist: dark skin tone;artist|dark skin tone|man|man artist: dark skin tone|palette
👩‍🎨;woman artist;artist|palette|woman
	👩🏻‍🎨;woman artist: light skin tone;artist|light skin tone|palette|woman|woman artist: light skin tone
	👩🏼‍🎨;woman artist: medium-light skin tone;artist|medium-light skin tone|palette|woman|woman artist: medium-light skin tone
	👩🏽‍🎨;woman artist: medium skin tone;artist|medium skin tone|palette|woman|woman artist: medium skin tone
	👩🏾‍🎨;woman artist: medium-dark skin tone;artist|medium-dark skin tone|palette|woman|woman artist: medium-dark skin tone
	👩🏿‍🎨;woman artist: dark skin tone;artist|dark skin tone|palette|woman|woman artist: dark skin tone
🧑‍✈️;pilot;pilot|plane
	🧑🏻‍✈️;pilot: light skin tone;light skin tone|pilot|pilot: light skin tone|plane
	🧑🏼‍✈️;pilot: medium-light skin tone;medium-light skin tone|pilot|pilot: medium-light skin tone|plane
	🧑🏽‍✈️;pilot: medium skin tone;medium skin tone|pilot|pilot: medium skin tone|plane
	🧑🏾‍✈️;pilot: medium-dark skin tone;medium-dark skin tone|pilot|pilot: medium-dark skin tone|plane
	🧑🏿‍✈️;pilot: dark skin tone;dark skin tone|pilot|pilot: dark skin tone|plane
👨‍✈️;man pilot;man|pilot|plane
	👨🏻‍✈️;man pilot: light skin tone;light skin tone|man|man pilot: light skin tone|pilot|plane
	👨🏼‍✈️;man pilot: medium-light skin tone;man|man pilot: medium-light skin tone|medium-light skin tone|pilot|plane
	👨🏽‍✈️;man pilot: medium skin tone;man|man pilot: medium skin tone|medium skin tone|pilot|plane
	👨🏾‍✈️;man pilot: medium-dark skin tone;man|man pilot: medium-dark skin tone|medium-dark skin tone|pilot|plane
	👨🏿‍✈️;man pilot: dark skin tone;dark skin tone|man|man pilot: dark skin tone|pilot|plane
👩‍✈️;woman pilot;pilot|plane|woman
	👩🏻‍✈️;woman pilot: light skin tone;light skin tone|pilot|plane|woman|woman pilot: light skin tone
	👩🏼‍✈️;woman pilot: medium-light skin tone;medium-light skin tone|pilot|plane|woman|woman pilot: medium-light skin tone
	👩🏽‍✈️;woman pilot: medium skin tone;medium skin tone|pilot|plane|woman|woman pilot: medium skin tone
	👩🏾‍✈️;woman pilot: medium-dark skin tone;medium-dark skin tone|pilot|plane|woman|woman pilot: medium-dark skin tone
	👩🏿‍✈️;woman pilot: dark skin tone;dark skin tone|pilot|plane|woman|woman pilot: dark skin tone
🧑‍🚀;astronaut;astronaut|rocket
	🧑🏻‍🚀;astronaut: light skin tone;astronaut|astronaut: light skin tone|light skin tone|rocket
	🧑🏼‍🚀;astronaut: medium-light skin tone;astronaut|astronaut: medium-light skin tone|medium-light skin tone|rocket
	🧑🏽‍🚀;astronaut: medium skin tone;astronaut|astronaut: medium skin tone|medium skin tone|rocket
	🧑🏾‍🚀;astronaut: medium-dark skin tone;astronaut|astronaut: medium-dark skin tone|medium-dark skin tone|rocket
	🧑🏿‍🚀;astronaut: dark skin tone;astronaut|astronaut: dark skin tone|dark skin tone|rocket
👨‍🚀;man astronaut;astronaut|man|rocket
	👨🏻‍🚀;man astronaut: light skin tone;astronaut|light skin tone|man|man astronaut: light skin tone|rocket
	👨🏼‍🚀;man astronaut: medium-light skin tone;astronaut|man|man astronaut: medium-light skin tone|medium-light skin tone|rocket
	👨🏽‍🚀;man astronaut: medium skin tone;astronaut|man|man astronaut: medium skin tone|medium skin tone|rocket
	👨🏾‍🚀;man astronaut: medium-dark skin tone;astronaut|man|man astronaut: medium-dark skin tone|medium-dark skin tone|rocket
	👨🏿‍🚀;man astronaut: dark skin tone;astronaut|dark skin tone|man|man astronaut: dark skin tone|rocket
👩‍🚀;woman astronaut;astronaut|rocket|woman
	👩🏻‍🚀;woman astronaut: light skin tone;astronaut|light skin tone|rocket|woman|woman astronaut: light skin tone
	👩🏼‍🚀;woman astronaut: medium-light skin tone;astronaut|medium-light skin tone|rocket|woman|woman astronaut: medium-light skin tone
	👩🏽‍🚀;woman astronaut: medium skin tone;astronaut|medium skin tone|rocket|woman|woman astronaut: medium skin tone
	👩🏾‍🚀;woman astronaut: medium-dark skin tone;astronaut|medium-dark skin tone|rocket|woman|woman astronaut: medium-dark skin tone
	👩🏿‍🚀;woman astronaut: dark skin tone;astronaut|dark skin tone|rocket|woman|woman astronaut: dark skin tone
🧑‍🚒;firefighter;fire|firefighter|firetruck
	🧑🏻‍🚒;firefighter: light skin tone;fire|firefighter|firefighter: light skin tone|firetruck|light skin tone
	🧑🏼‍🚒;firefighter: medium-light skin tone;fire|firefighter|firefighter: medium-light skin tone|firetruck|medium-light skin tone
	🧑🏽‍🚒;firefighter: medium skin tone;fire|firefighter|firefighter: medium skin tone|firetruck|medium skin tone
	🧑🏾‍🚒;firefighter: medium-dark skin tone;fire|firefighter|firefighter: medium-dark skin tone|firetruck|medium-dark skin tone
	🧑🏿‍🚒;firefighter: dark skin tone;dark skin tone|fire|firefighter|firefighter: dark skin tone|firetruck
👨‍🚒;man firefighter;firefighter|firetruck|man
	👨🏻‍🚒;man firefighter: light skin tone;firefighter|firetruck|light skin tone|man|man firefighter: light skin tone
	👨🏼‍🚒;man firefighter: medium-light skin tone;firefighter|firetruck|man|man firefighter: medium-light skin tone|medium-light skin tone
	👨🏽‍🚒;man firefighter: medium skin tone;firefighter|firetruck|man|man firefighter: medium skin tone|medium skin tone
	👨🏾‍🚒;man firefighter: medium-dark skin tone;firefighter|firetruck|man|man firefighter: medium-dark skin tone|medium-dark skin tone
	👨🏿‍🚒;man firefighter: dark skin tone;dark skin tone|firefighter|firetruck|man|man firefighter: dark skin tone
👩‍🚒;woman firefighter;firefighter|firetruck|woman
	👩🏻‍🚒;woman firefighter: light skin tone;firefighter|firetruck|light skin tone|woman|woman firefighter: light skin tone
	👩🏼‍🚒;woman firefighter: medium-light skin tone;firefighter|firetruck|medium-light skin tone|woman|woman firefighter: medium-light skin tone
	👩🏽‍🚒;woman firefighter: medium skin tone;firefighter|firetruck|medium skin tone|woman|woman firefighter: medium skin tone
	👩🏾‍🚒;woman firefighter: medium-dark skin tone;firefighter|firetruck|medium-dark skin tone|woman|woman firefighter: medium-dark skin tone
	👩🏿‍🚒;woman firefighter: dark skin tone;dark skin tone|firefighter|firetruck|woman|woman firefighter: dark skin tone
👮;police officer;cop|officer|police
	👮🏻;police officer: light skin tone;cop|light skin tone|officer|police|police officer: light skin tone
	👮🏼;police officer: medium-light skin tone;cop|medium-light skin tone|officer|police|police officer: medium-light skin tone
	👮🏽;police officer: medium skin tone;cop|medium skin tone|officer|police|police officer: medium skin tone
	👮🏾;police officer: medium-dark skin tone;cop|medium-dark skin tone|officer|police|police officer: medium-dark skin tone
	👮🏿;police officer: dark skin tone;cop|dark skin tone|officer|police|police officer: dark skin tone
👮‍♂️;man police officer;cop|man|officer|police
	👮🏻‍♂️;man police officer: light skin tone;cop|light skin tone|man|man police officer: light skin tone|officer|police
	👮🏼‍♂️;man police officer: medium-light skin tone;cop|man|man police officer: medium-light skin tone|medium-light skin tone|officer|police
	👮🏽‍♂️;man police officer: medium skin tone;cop|man|man police officer: medium skin tone|medium skin tone|officer|police
	👮🏾‍♂️;man police officer: medium-dark skin tone;cop|man|man police officer: medium-dark skin tone|medium-dark skin tone|officer|police
	👮🏿‍♂️;man police officer: dark skin tone;cop|dark skin tone|man|man police officer: dark skin tone|officer|police
👮‍♀️;woman police officer;cop|officer|police|woman
	👮🏻‍♀️;woman police officer: light skin tone;cop|light skin tone|officer|police|woman|woman police officer: light skin tone
	👮🏼‍♀️;woman police officer: medium-light skin tone;cop|medium-light skin tone|officer|police|woman|woman police officer: medium-light skin tone
	👮🏽‍♀️;woman police officer: medium skin tone;cop|medium skin tone|officer|police|woman|woman police officer: medium skin tone
	👮🏾‍♀️;woman police officer: medium-dark skin tone;cop|medium-dark skin tone|officer|police|woman|woman police officer: medium-dark skin tone
	👮🏿‍♀️;woman police officer: dark skin tone;cop|dark skin tone|officer|police|woman|woman police officer: dark skin tone
