# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cara sonriendo;cara|cara sonriendo|divertido|feliz|sonrisa
🧑‍🔧;profesional de la mecánica;electricista|fontanero|mecánico|operario|profesional de la mecánica|técnico
	🧑🏻‍🔧;profesional de la mecánica: tono de piel claro;electricista|fontanero|mecánico|operario|profesional de la mecánica|profesional de la mecánica: tono de piel claro|técnico|tono de piel claro
	🧑🏼‍🔧;profesional de la mecánica: tono de piel claro medio;electricista|fontanero|mecánico|operario|profesional de la mecánica|profesional de la mecánica: tono de piel claro medio|técnico|tono de piel claro medio
	🧑🏽‍🔧;profesional de la mecánica: tono de piel medio;electricista|fontanero|mecánico|operario|profesional de la mecánica|profesional de la mecánica: tono de piel medio|técnico|tono de piel medio
	🧑🏾‍🔧;profesional de la mecánica: tono de piel oscuro medio;electricista|fontanero|mecánico|operario|profesional de la mecánica|profesional de la mecánica: tono de piel oscuro medio|técnico|tono de piel oscuro medio
	🧑🏿‍🔧;profesional de la mecánica: tono de piel oscuro;electricista|fontanero|mecánico|operario|profesional de la mecánica|profesional de la mecánica: tono de piel oscuro|técnico|tono de piel oscuro
👨‍🔧;profesional de la mecánica hombre;electricista|fontanero|hombre|mecánico|operario|profesional de la mecánica hombre
	👨🏻‍🔧;profesional de la mecánica hombre: tono de piel claro;electricista|fontanero|hombre|mecánico|operario|profesional de la mecánica hombre|profesional de la mecánica hombre: tono de piel claro|tono de piel claro
	👨🏼‍🔧;profesional de la mecánica hombre: tono de piel claro medio;electricista|fontanero|hombre|mecánico|operario|profesional de la mecánica hombre|profesional de la mecánica hombre: tono de piel claro medio|tono de piel claro medio
	👨🏽‍🔧;profesional de la mecánica hombre: tono de piel medio;electricista|fontanero|hombre|mecánico|operario|profesional de la mecánica hombre|profesional de la mecánica hombre: tono de piel medio|tono de piel medio
	👨🏾‍🔧;profesional de la mecánica hombre: tono de piel oscuro medio;electricista|fontanero|hombre|mecánico|operario|profesional de la mecánica hombre|profesional de la mecánica hombre: tono de piel oscuro medio|tono de piel oscuro medio
	👨🏿‍🔧;profesional de la mecánica hombre: tono de piel oscuro;electricista|fontanero|hombre|mecánico|operario|profesional de la mecánica hombre|profesional de la mecánica hombre: tono de piel oscuro|tono de piel oscuro
👩‍🔧;profesional de la mecánica mujer;electricista|fontanera|mecánica|mujer|operaria|profesional de la mecánica mujer
	👩🏻‍🔧;profesional de la mecánica mujer: tono de piel claro;electricista|fontanera|mecánica|mujer|operaria|profesional de la mecánica mujer|profesional de la mecánica mujer: tono de piel claro|tono de piel claro
	👩🏼‍🔧;profesional de la mecánica mujer: tono de piel claro medio;electricista|fontanera|mecánica|mujer|operaria|profesional de la mecánica mujer|profesional de la mecánica mujer: tono de piel claro medio|tono de piel claro medio
	👩🏽‍🔧;profesional de la mecánica mujer: tono de piel medio;electricista|fontanera|mecánica|mujer|operaria|profesional de la mecánica mujer|profesional de la mecánica mujer: tono de piel medio|tono de piel medio
	👩🏾‍🔧;profesional de la mecánica mujer: tono de piel oscuro medio;electricista|fontanera|mecánica|mujer|operaria|profesional de la mecánica mujer|profesional de la mecánica mujer: tono de piel oscuro medio|tono de piel oscuro medio
	👩🏿‍🔧;profesional de la mecánica mujer: tono de piel oscuro;electricista|fontanera|mecánica|mujer|operaria|profesional de la mecánica mujer|profesional de la mecánica mujer: tono de piel oscuro|tono de piel oscuro
🧑‍🏭;profesional industrial;fábrica|montaje|obrero|operario|profesional industrial|trabajador
	🧑🏻‍🏭;profesional industrial: tono de piel claro;fábrica|montaje|obrero|operario|profesional industrial|profesional industrial: tono de piel claro|tono de piel claro|trabajador
	🧑🏼‍🏭;profesional industrial: tono de piel claro medio;fábrica|montaje|obrero|operario|profesional industrial|profesional industrial: tono de piel claro medio|tono de piel claro medio|trabajador
	🧑🏽‍🏭;profesional industrial: tono de piel medio;fábrica|montaje|obrero|operario|profesional industrial|profesional industrial: tono de piel medio|tono de piel medio|trabajador
	🧑🏾‍🏭;profesional industrial: tono de piel oscuro medio;fábrica|montaje|obrero|operario|profesional industrial|profesional industrial: tono de piel oscuro medio|tono de piel oscuro medio|trabajador
	🧑🏿‍🏭;profesional industrial: tono de piel oscuro;fábrica|montaje|obrero|operario|profesional industrial|profesional industrial: tono de piel oscuro|tono de piel oscuro|trabajador
👨‍🏭;profesional industrial hombre;fábrica|montaje|obrero|operario|profesional industrial hombre|trabajador
	👨🏻‍🏭;profesional industrial hombre: tono de piel claro;fábrica|montaje|obrero|operario|profesional industrial hombre|profesional industrial hombre: tono de piel claro|tono de piel claro|trabajador
	👨🏼‍🏭;profesional industrial hombre: tono de piel claro medio;fábrica|montaje|obrero|operario|profesional industrial hombre|profesional industrial hombre: tono de piel claro medio|tono de piel claro medio|trabajador
	👨🏽‍🏭;profesional industrial hombre: tono de piel medio;fábrica|montaje|obrero|operario|profesional industrial hombre|profesional industrial hombre: tono de piel medio|tono de piel medio|trabajador
	👨🏾‍🏭;profesional industrial hombre: tono de piel oscuro medio;fábrica|montaje|obrero|operario|profesional industrial hombre|profesional industrial hombre: tono de piel oscuro medio|tono de piel oscuro medio|trabajador
	👨🏿‍🏭;profesional industrial hombre: tono de piel oscuro;fábrica|montaje|obrero|operario|profesional industrial hombre|profesional industrial hombre: tono de piel oscuro|tono de piel oscuro|trabajador
👩‍🏭;profesional industrial mujer;fábrica|montaje|obrera|operaria|profesional industrial mujer|trabajadora
	👩🏻‍🏭;profesional industrial mujer: tono de piel claro;fábrica|montaje|obrera|operaria|profesional industrial mujer|profesional industrial mujer: tono de piel claro|tono de piel claro|trabajadora
	👩🏼‍🏭;profesional industrial mujer: tono de piel claro medio;fábrica|montaje|obrera|operaria|profesional industrial mujer|profesional industrial mujer: tono de piel claro medio|tono de piel claro medio|trabajadora
	👩🏽‍🏭;profesional industrial mujer: tono de piel medio;fábrica|montaje|obrera|operaria|profesional industrial mujer|profesional industrial mujer: tono de piel medio|tono de piel medio|trabajadora
	👩🏾‍🏭;profesional industrial mujer: tono de piel oscuro medio;fábrica|montaje|obrera|operaria|profesional industrial mujer|profesional industrial mujer: tono de piel oscuro medio|tono de piel oscuro medio|trabajadora
	👩🏿‍🏭;profesional industrial mujer: tono de piel oscuro;fábrica|montaje|obrera|operaria|profesional industrial mujer|profesional industrial mujer: tono de piel oscuro|tono de piel oscuro|trabajadora
🧑‍💼;oficinista;arquitecto|director|ejecutivo|empresa|oficinista
	🧑🏻‍💼;oficinista: tono de piel claro;arquitecto|director|ejecutivo|empresa|oficinista|oficinista: tono de piel claro|tono de piel claro
	🧑🏼‍💼;oficinista: tono de piel claro medio;arquitecto|director|ejecutivo|empresa|oficinista|oficinista: tono de piel claro medio|tono de piel claro medio
	🧑🏽‍💼;oficinista: tono de piel medio;arquitecto|director|ejecutivo|empresa|oficinista|oficinista: tono de piel medio|tono de piel medio
	🧑🏾‍💼;oficinista: tono de piel oscuro medio;arquitecto|director|ejecutivo|empresa|oficinista|oficinista: tono de piel oscuro medio|tono de piel oscuro medio
	🧑🏿‍💼;oficinista: tono de piel oscuro;arquitecto|director|ejecutivo|empresa|oficinista|oficinista: tono de piel oscuro|tono de piel oscuro
👨‍💼;oficinista hombre;director|ejecutivo|empresa|hombre|oficina|oficinista
	👨🏻‍💼;oficinista hombre: tono de piel claro;director|ejecutivo|empresa|hombre|oficina|oficinista|oficinista hombre: tono de piel claro|tono de piel claro
	👨🏼‍💼;oficinista hombre: tono de piel claro medio;director|ejecutivo|empresa|hombre|oficina|oficinista|oficinista hombre: tono de piel claro medio|tono de piel claro medio
	👨🏽‍💼;oficinista hombre: tono de piel medio;director|ejecutivo|empresa|hombre|oficina|oficinista|oficinista hombre: tono de piel medio|tono de piel medio
	👨🏾‍💼;oficinista hombre: tono de piel oscuro medio;director|ejecutivo|empresa|hombre|oficina|oficinista|oficinista hombre: tono de piel oscuro medio|tono de piel oscuro medio
	👨🏿‍💼;oficinista hombre: tono de piel oscuro;director|ejecutivo|empresa|hombre|oficina|oficinista|oficinista hombre: tono de piel oscuro|tono de piel oscuro
👩‍💼;oficinista mujer;directora|ejecutiva|empresa|mujer|oficina|oficinista
	👩🏻‍💼;oficinista mujer: tono de piel claro;directora|ejecutiva|empresa|mujer|oficina|oficinista|oficinista mujer: tono de piel claro|tono de piel claro
	👩🏼‍💼;oficinista mujer: tono de piel claro medio;directora|ejecutiva|empresa|mujer|oficina|oficinista|oficinista mujer: tono de piel claro medio|tono de piel claro medio
	👩🏽‍💼;oficinista mujer: tono de piel medio;directora|ejecutiva|empresa|mujer|oficina|oficinista|oficinista mujer: tono de piel medio|tono de piel medio
	👩🏾‍💼;oficinista mujer: tono de piel oscuro medio;directora|ejecutiva|empresa|mujer|oficina|oficinista|oficinista mujer: tono de piel oscuro medio|tono de piel oscuro medio
	👩🏿‍💼;oficinista mujer: tono de piel oscuro;directora|ejecutiva|empresa|mujer|oficina|oficinista|oficinista mujer: tono de piel oscuro|tono de piel oscuro
🧑‍🔬;profesional de la ciencia;biólogo|científico|físico|investigador|profesional de la ciencia|químico
	🧑🏻‍🔬;profesional de la ciencia: tono de piel claro;biólogo|científico|físico|investigador|profesional de la ciencia|profesional de la ciencia: tono de piel claro|químico|tono de piel claro
	🧑🏼‍🔬;profesional de la ciencia: tono de piel claro medio;biólogo|científico|físico|investigador|profesional de la ciencia|profesional de la ciencia: tono de piel claro medio|químico|tono de piel claro medio
	🧑🏽‍🔬;profesional de la ciencia: tono de piel medio;biólogo|científico|físico|investigador|profesional de la ciencia|profesional de la ciencia: tono de piel medio|químico|tono de piel medio
	🧑🏾‍🔬;profesional de la ciencia: tono de piel oscuro medio;biólogo|científico|físico|investigador|profesional de la ciencia|profesional de la ciencia: tono de piel oscuro medio|químico|tono de piel oscuro medio
	🧑🏿‍🔬;profesional de la ciencia: tono de piel oscuro;biólogo|científico|físico|investigador|profesional de la ciencia|profesional de la ciencia: tono de piel oscuro|químico|tono de piel oscuro
👨‍🔬;profesional de la ciencia hombre;biólogo|científico|físico|hombre|profesional de la ciencia hombre|químico
	👨🏻‍🔬;profesional de la ciencia hombre: tono de piel claro;biólogo|científico|físico|hombre|profesional de la ciencia hombre|profesional de la ciencia hombre: tono de piel claro|químico|tono de piel claro
	👨🏼‍🔬;profesional de la ciencia hombre: tono de piel claro medio;biólogo|científico|físico|hombre|profesional de la ciencia hombre|profesional de la ciencia hombre: tono de piel claro medio|químico|tono de piel claro medio
	👨🏽‍🔬;profesional de la ciencia hombre: tono de piel medio;biólogo|científico|físico|hombre|profesional de la ciencia hombre|profesional de la ciencia hombre: tono de piel medio|químico|tono de piel medio
	👨🏾‍🔬;profesional de la ciencia hombre: tono de piel oscuro medio;biólogo|científico|físico|hombre|profesional de la ciencia hombre|profesional de la ciencia hombre: tono de piel oscuro medio|químico|tono de piel oscuro medio
	👨🏿‍🔬;profesional de la ciencia hombre: tono de piel oscuro;biólogo|científico|físico|hombre|profesional de la ciencia hombre|profesional de la ciencia hombre: tono de piel oscuro|químico|tono de piel oscuro
👩‍🔬;profesional de la ciencia mujer;bióloga|científica|física|mujer|profesional de la ciencia mujer|química
	👩🏻‍🔬;profesional de la ciencia mujer: tono de piel claro;bióloga|científica|física|mujer|profesional de la ciencia mujer|profesional de la ciencia mujer: tono de piel claro|química|tono de piel claro
	👩🏼‍🔬;profesional de la ciencia mujer: tono de piel claro medio;bióloga|científica|física|mujer|profesional de la ciencia mujer|profesional de la ciencia mujer: tono de piel claro medio|química|tono de piel claro medio
	👩🏽‍🔬;profesional de la ciencia mujer: tono de piel medio;bióloga|científica|física|mujer|profesional de la ciencia mujer|profesional de la ciencia mujer: tono de piel medio|química|tono de piel medio
	👩🏾‍🔬;profesional de la ciencia mujer: tono de piel oscuro medio;bióloga|científica|física|mujer|profesional de la ciencia mujer|profesional de la ciencia mujer: tono de piel oscuro medio|química|tono de piel oscuro medio
	👩🏿‍🔬;profesional de la ciencia mujer: tono de piel oscuro;bióloga|científica|física|mujer|profesional de la ciencia mujer|profesional de la ciencia mujer: tono de piel oscuro|química|tono de piel oscuro
🧑‍💻;profesional de la tecnología;desarrollador|informático|profesional de la tecnología|programador|software|tecnólogo
	🧑🏻‍💻;profesional de la tecnología: tono de piel claro;desarrollador|informático|profesional de la tecnología|profesional de la tecnología: tono de piel claro|programador|software|tecnólogo|tono de piel claro
	🧑🏼‍💻;profesional de la tecnología: tono de piel claro medio;desarrollador|informático|profesional de la tecnología|profesional de la tecnología: tono de piel claro medio|programador|software|tecnólogo|tono de piel claro medio
	🧑🏽‍💻;profesional de la tecnología: tono de piel medio;desarrollador|informático|profesional de la tecnología|profesional de la tecnología: tono de piel medio|programador|software|tecnólogo|tono de piel medio
	🧑🏾‍💻;profesional de la tecnología: tono de piel oscuro medio;desarrollador|informático|profesional de la tecnología|profesional de la tecnología: tono de piel oscuro medio|programador|software|tecnólogo|tono de piel oscuro medio
	🧑🏿‍💻;profesional de la tecnología: tono de piel oscuro;desarrollador|informático|profesional de la tecnología|profesional de la tecnología: tono de piel oscuro|programador|software|tecnólogo|tono de piel oscuro
👨‍💻;profesional de la tecnología hombre;desarrollador|hombre|informático|profesional de la tecnología hombre|programador|tecnólogo
	👨🏻‍💻;profesional de la tecnología hombre: tono de piel claro;desarrollador|hombre|informático|profesional de la tecnología hombre|profesional de la tecnología hombre: tono de piel claro|programador|tecnólogo|tono de piel claro
	👨🏼‍💻;profesional de la tecnología hombre: tono de piel claro medio;desarrollador|hombre|informático|profesional de la tecnología hombre|profesional de la tecnología hombre: tono de piel claro medio|programador|tecnólogo|tono de piel claro medio
	👨🏽‍💻;profesional de la tecnología hombre: tono de piel medio;desarrollador|hombre|informático|profesional de la tecnología hombre|profesional de la tecnología hombre: tono de piel medio|programador|tecnólogo|tono de piel medio
	👨🏾‍💻;profesional de la tecnología hombre: tono de piel oscuro medio;desarrollador|hombre|informático|profesional de la tecnología hombre|profesional de la tecnología hombre: tono de piel oscuro medio|programador|tecnólogo|tono de piel oscuro medio
	👨🏿‍💻;profesional de la tecnología hombre: tono de piel oscuro;desarrollador|hombre|informático|profesional de la tecnología hombre|profesional de la tecnología hombre: tono de piel oscuro|programador|tecnólogo|tono de piel oscuro
👩‍💻;profesional de la tecnología mujer;desarrolladora|informática|mujer|profesional de la tecnología mujer|programadora|tecnóloga
	👩🏻‍💻;profesional de la tecnología mujer: tono de piel claro;desarrolladora|informática|mujer|profesional de la tecnología mujer|profesional de la tecnología mujer: tono de piel claro|programadora|tecnóloga|tono de piel claro
	👩🏼‍💻;profesional de la tecnología mujer: tono de piel claro medio;desarrolladora|informática|mujer|profesional de la tecnología mujer|profesional de la tecnología mujer: tono de piel claro medio|programadora|tecnóloga|tono de piel claro medio
	👩🏽‍💻;profesional de la tecnología mujer: tono de piel medio;desarrolladora|informática|mujer|profesional de la tecnología mujer|profesional de la tecnología mujer: tono de piel medio|programadora|tecnóloga|tono de piel medio
	👩🏾‍💻;profesional de la tecnología mujer: tono de piel oscuro medio;desarrolladora|informática|mujer|profesional de la tecnología mujer|profesional de la tecnología mujer: tono de piel oscuro medio|programadora|tecnóloga|tono de piel oscuro medio
	👩🏿‍💻;profesional de la tecnología mujer: tono de piel oscuro;desarrolladora|informática|mujer|profesional de la tecnología mujer|profesional de la tecnología mujer: tono de piel oscuro|programadora|tecnóloga|tono de piel oscuro
🧑‍🎤;cantante;artista|cantante|estrella|rock
	🧑🏻‍🎤;cantante: tono de piel claro;artista|cantante|cantante: tono de piel claro|estrella|rock|tono de piel claro
	🧑🏼‍🎤;cantante: tono de piel claro medio;artista|cantante|cantante: tono de piel claro medio|estrella|rock|tono de piel claro medio
	🧑🏽‍🎤;cantante: tono de piel medio;artista|cantante|cantante: tono de piel medio|estrella|rock|tono de piel medio
	🧑🏾‍🎤;cantante: tono de piel oscuro medio;artista|cantante|cantante: tono de piel oscuro medio|estrella|rock|tono de piel oscuro medio
	🧑🏿‍🎤;cantante: tono de piel oscuro;artista|cantante|cantante: tono de piel oscuro|estrella|rock|tono de piel oscuro
👨‍🎤;cantante hombre;artista|cantante hombre|estrella|hombre|rock
	👨🏻‍🎤;cantante hombre: tono de piel claro;artista|cantante hombre|cantante hombre: tono de piel claro|estrella|hombre|rock|tono de piel claro
	👨🏼‍🎤;cantante hombre: tono de piel claro medio;artista|cantante hombre|cantante hombre: tono de piel claro medio|estrella|hombre|rock|tono de piel claro medio
	👨🏽‍🎤;cantante hombre: tono de piel medio;artista|cantante hombre|cantante hombre: tono de piel medio|estrella|hombre|rock|tono de piel medio
	👨🏾‍🎤;cantante hombre: tono de piel oscuro medio;artista|cantante hombre|cantante hombre: tono de piel oscuro medio|estrella|hombre|rock|tono de piel oscuro medio
	👨🏿‍🎤;cantante hombre: tono de piel oscuro;artista|cantante hombre|cantante hombre: tono de piel oscuro|estrella|hombre|rock|tono de piel oscuro
👩‍🎤;cantante mujer;artista|cantante mujer|estrella|mujer|rock
	👩🏻‍🎤;cantante mujer: tono de piel claro;artista|cantante mujer|cantante mujer: tono de piel claro|estrella|mujer|rock|tono de piel claro
	👩🏼‍🎤;cantante mujer: tono de piel claro medio;artista|cantante mujer|cantante mujer: tono de piel claro medio|estrella|mujer|rock|tono de piel claro medio
	👩🏽‍🎤;cantante mujer: tono de piel medio;artista|cantante mujer|cantante mujer: tono de piel medio|estrella|mujer|rock|tono de piel medio
	👩🏾‍🎤;cantante mujer: tono de piel oscuro medio;artista|cantante mujer|cantante mujer: tono de piel oscuro medio|estrella|mujer|rock|tono de piel oscuro medio
	👩🏿‍🎤;cantante mujer: tono de piel oscuro;artista|cantante mujer|cantante mujer: tono de piel oscuro|estrella|mujer|rock|tono de piel oscuro
🧑‍🎨;artista;artista|paleta|pintor|pinturas
	🧑🏻‍🎨;artista: tono de piel claro;artista|artista: tono de piel claro|paleta|pintor|pinturas|tono de piel claro
	🧑🏼‍🎨;artista: tono de piel claro medio;artista|artista: tono de piel claro medio|paleta|pintor|pinturas|tono de piel claro medio
	🧑🏽‍🎨;artista: tono de piel medio;artista|artista: tono de piel medio|paleta|pintor|pinturas|tono de piel medio
	🧑🏾‍🎨;artista: tono de piel oscuro medio;artista|artista: tono de piel oscuro medio|paleta|pintor|pinturas|tono de piel oscuro medio
	🧑🏿‍🎨;artista: tono de piel oscuro;artista|artista: tono de piel oscuro|paleta|pintor|pinturas|tono de piel oscuro
👨‍🎨;artista hombre;artista hombre|hombre|paleta|pintor|pinturas
	👨🏻‍🎨;artista hombre: tono de piel claro;artista hombre|artista hombre: tono de piel claro|hombre|paleta|pintor|pinturas|tono de piel claro
	👨🏼‍🎨;artista hombre: tono de piel claro medio;artista hombre|artista hombre: tono de piel claro medio|hombre|paleta|pintor|pinturas|tono de piel claro medio
	👨🏽‍🎨;artista hombre: tono de piel medio;artista hombre|artista hombre: tono de piel medio|hombre|paleta|pintor|pinturas|tono de piel medio
	👨🏾‍🎨;artista hombre: tono de piel oscuro medio;artista hombre|artista hombre: tono de piel oscuro medio|hombre|paleta|pintor|pinturas|tono de piel oscuro medio
	👨🏿‍🎨;artista hombre: tono de piel oscuro;artista hombre|artista hombre: tono de piel oscuro|hombre|paleta|pintor|pinturas|tono de piel oscuro
👩‍🎨;artista mujer;artista mujer|mujer|paleta|pintora|pinturas
	👩🏻‍🎨;artista mujer: tono de piel claro;artista mujer|artista mujer: tono de piel claro|mujer|paleta|pintora|pinturas|tono de piel claro
	👩🏼‍🎨;artista mujer: tono de piel claro medio;artista mujer|artista mujer: tono de piel claro medio|mujer|paleta|pintora|pinturas|tono de piel claro medio
	👩🏽‍🎨;artista mujer: tono de piel medio;artista mujer|artista mujer: tono de piel medio|mujer|paleta|pintora|pinturas|tono de piel medio
	👩🏾‍🎨;artista mujer: tono de piel oscuro medio;artista mujer|artista mujer: tono de piel oscuro medio|mujer|paleta|pintora|pinturas|tono de piel oscuro medio
	👩🏿‍🎨;artista mujer: tono de piel oscuro;artista mujer|artista mujer: tono de piel oscuro|mujer|paleta|pintora|pinturas|tono de piel oscuro
🧑‍✈️;piloto;avión|capitán|piloto|vuelo
	🧑🏻‍✈️;piloto: tono de piel claro;avión|capitán|piloto|piloto: tono de piel claro|tono de piel claro|vuelo
	🧑🏼‍✈️;piloto: tono de piel claro medio;avión|capitán|piloto|piloto: tono de piel claro medio|tono de piel claro medio|vuelo
	🧑🏽‍✈️;piloto: tono de piel medio;avión|capitán|piloto|piloto: tono de piel medio|tono de piel medio|vuelo
	🧑🏾‍✈️;piloto: tono de piel oscuro medio;avión|capitán|piloto|piloto: tono de piel oscuro medio|tono de piel oscuro medio|vuelo
	🧑🏿‍✈️;piloto: tono de piel oscuro;avión|capitán|piloto|piloto: tono de piel oscuro|tono de piel oscuro|vuelo
👨‍✈️;piloto hombre;avión|capitán|hombre|piloto|vuelo
	👨🏻‍✈️;piloto hombre: tono de piel claro;avión|capitán|hombre|piloto|piloto hombre: tono de piel claro|tono de piel claro|vuelo
	👨🏼‍✈️;piloto hombre: tono de piel claro medio;avión|capitán|hombre|piloto|piloto hombre: tono de piel claro medio|tono de piel claro medio|vuelo
	👨🏽‍✈️;piloto hombre: tono de piel medio;avión|capitán|hombre|piloto|piloto hombre: tono de piel medio|tono de piel medio|vuelo
	👨🏾‍✈️;piloto hombre: tono de piel oscuro medio;avión|capitán|hombre|piloto|piloto hombre: tono de piel oscuro medio|tono de piel oscuro medio|vuelo
	👨🏿‍✈️;piloto hombre: tono de piel oscuro;avión|capitán|hombre|piloto|piloto hombre: tono de piel oscuro|tono de piel oscuro|vuelo
👩‍✈️;piloto mujer;avión|capitana|mujer|piloto|vuelo
	👩🏻‍✈️;piloto mujer: tono de piel claro;avión|capitana|mujer|piloto|piloto mujer: tono de piel claro|tono de piel claro|vuelo
	👩🏼‍✈️;piloto mujer: tono de piel claro medio;avión|capitana|mujer|piloto|piloto mujer: tono de piel claro medio|tono de piel claro medio|vuelo
	👩🏽‍✈️;piloto mujer: tono de piel medio;avión|capitana|mujer|piloto|piloto mujer: tono de piel medio|tono de piel medio|vuelo
	👩🏾‍✈️;piloto mujer: tono de piel oscuro medio;avión|capitana|mujer|piloto|piloto mujer: tono de piel oscuro medio|tono de piel oscuro medio|vuelo
	👩🏿‍✈️;piloto mujer: tono de piel oscuro;avión|capitana|mujer|piloto|piloto mujer: tono de piel oscuro|tono de piel oscuro|vuelo
🧑‍🚀;astronauta;astronauta|cohete|espacio
	🧑🏻‍🚀;astronauta: tono de piel claro;astronauta|astronauta: tono de piel claro|cohete|espacio|tono de piel claro
	🧑🏼‍🚀;astronauta: tono de piel claro medio;astronauta|astronauta: tono de piel claro medio|cohete|espacio|tono de piel claro medio
	🧑🏽‍🚀;astronauta: tono de piel medio;astronauta|astronauta: tono de piel medio|cohete|espacio|tono de piel medio
	🧑🏾‍🚀;astronauta: tono de piel oscuro medio;astronauta|astronauta: tono de piel oscuro medio|cohete|espacio|tono de piel oscuro medio
	🧑🏿‍🚀;astronauta: tono de piel oscuro;astronauta|astronauta: tono de piel oscuro|cohete|espacio|tono de piel oscuro
👨‍🚀;astronauta hombre;astronauta|cohete|espacio|hombre
	👨🏻‍🚀;astronauta hombre: tono de piel claro;astronauta|astronauta hombre: tono de piel claro|cohete|espacio|hombre|tono de piel claro
	👨🏼‍🚀;astronauta hombre: tono de piel claro medio;astronauta|astronauta hombre: tono de piel claro medio|cohete|espacio|hombre|tono de piel claro medio
	👨🏽‍🚀;astronauta hombre: tono de piel medio;astronauta|astronauta hombre: tono de piel medio|cohete|espacio|hombre|tono de piel medio
	👨🏾‍🚀;astronauta hombre: tono de piel oscuro medio;astronauta|astronauta hombre: tono de piel oscuro medio|cohete|espacio|hombre|tono de piel oscuro medio
	👨🏿‍🚀;astronauta hombre: tono de piel oscuro;astronauta|astronauta hombre: tono de piel oscuro|cohete|espacio|hombre|tono de piel oscuro
👩‍🚀;astronauta mujer;astronauta|cohete|espacio|mujer
	👩🏻‍🚀;astronauta mujer: tono de piel claro;astronauta|astronauta mujer: tono de piel claro|cohete|espacio|mujer|tono de piel claro
	👩🏼‍🚀;astronauta mujer: tono de piel claro medio;astronauta|astronauta mujer: tono de piel claro medio|cohete|espacio|mujer|tono de piel claro medio
	👩🏽‍🚀;astronauta mujer: tono de piel medio;astronauta|astronauta mujer: tono de piel medio|cohete|espacio|mujer|tono de piel medio
	👩🏾‍🚀;astronauta mujer: tono de piel oscuro medio;astronauta|astronauta mujer: tono de piel oscuro medio|cohete|espacio|mujer|tono de piel oscuro medio
	👩🏿‍🚀;astronauta mujer: tono de piel oscuro;astronauta|astronauta mujer: tono de piel oscuro|cohete|espacio|mujer|tono de piel oscuro
🧑‍🚒;bombero;bombero|camión|manguera
	🧑🏻‍🚒;bombero: tono de piel claro;bombero|bombero: tono de piel claro|camión|manguera|tono de piel claro
	🧑🏼‍🚒;bombero: tono de piel claro medio;bombero|bombero: tono de piel claro medio|camión|manguera|tono de piel claro medio
	🧑🏽‍🚒;bombero: tono de piel medio;bombero|bombero: tono de piel medio|camión|manguera|tono de piel medio
	🧑🏾‍🚒;bombero: tono de piel oscuro medio;bombero|bombero: tono de piel oscuro medio|camión|manguera|tono de piel oscuro medio
	🧑🏿‍🚒;bombero: tono de piel oscuro;bombero|bombero: tono de piel oscuro|camión|manguera|tono de piel oscuro
👨‍🚒;bombero hombre;apagafuegos|bombero|bombero hombre|camión|manguera
	👨🏻‍🚒;bombero hombre: tono de piel claro;apagafuegos|bombero|bombero hombre|bombero hombre: tono de piel claro|camión|manguera|tono de piel claro
	👨🏼‍🚒;bombero hombre: tono de piel claro medio;apagafuegos|bombero|bombero hombre|bombero hombre: tono de piel claro medio|camión|manguera|tono de piel claro medio
	👨🏽‍🚒;bombero hombre: tono de piel medio;apagafuegos|bombero|bombero hombre|bombero hombre: tono de piel medio|camión|manguera|tono de piel medio
	👨🏾‍🚒;bombero hombre: tono de piel oscuro medio;apagafuegos|bombero|bombero hombre|bombero hombre: tono de piel oscuro medio|camión|manguera|tono de piel oscuro medio
	👨🏿‍🚒;bombero hombre: tono de piel oscuro;apagafuegos|bombero|bombero hombre|bombero hombre: tono de piel oscuro|camión|manguera|tono de piel oscuro
👩‍🚒;bombera;apagafuegos|bombera|bombera mujera|camión|manguera
	👩🏻‍🚒;bombera: tono de piel claro;apagafuegos|bombera|bombera mujera|bombera: tono de piel claro|camión|manguera|tono de piel claro
	👩🏼‍🚒;bombera: tono de piel claro medio;apagafuegos|bombera|bombera mujera|bombera: tono de piel claro medio|camión|manguera|tono de piel claro medio
	👩🏽‍🚒;bombera: tono de piel medio;apagafuegos|bombera|bombera mujera|bombera: tono de piel medio|camión|manguera|tono de piel medio
	👩🏾‍🚒;bombera: tono de piel oscuro medio;apagafuegos|bombera|bombera mujera|bombera: tono de piel oscuro medio|camión|manguera|tono de piel oscuro medio
	👩🏿‍🚒;bombera: tono de piel oscuro;apagafuegos|bombera|bombera mujera|bombera: tono de piel oscuro|camión|manguera|tono de piel oscuro
👮;agente de policía;agente|agente de policía|personas|policía
	👮🏻;agente de policía: tono de piel claro;agente|agente de policía|agente de policía: tono de piel claro|personas|policía|tono de piel claro
	👮🏼;agente de policía: tono de piel claro medio;agente|agente de policía|agente de policía: tono de piel claro medio|personas|policía|tono de piel claro medio
	👮🏽;agente de policía: tono de piel medio;agente|agente de policía|agente de policía: tono de piel medio|personas|policía|tono de piel medio
	👮🏾;agente de policía: tono de piel oscuro medio;agente|agente de policía|agente de policía: tono de piel oscuro medio|personas|policía|tono de piel oscuro medio
	👮🏿;agente de policía: tono de piel oscuro;agente|agente de policía|agente de policía: tono de piel oscuro|personas|policía|tono de piel oscuro
👮‍♂️;agente de policía hombre;agente|agente de policía hombre|hombre|poli|policía
