# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;faccina con un gran sorriso;faccina|faccina che sogghigna|faccina con un gran sorriso|risata|sogghignare
	🙇🏻;persona che fa un inchino profondo: carnagione chiara;carnagione chiara|gesto|mi dispiace|persona|persona che fa un inchino profondo|persona che fa un inchino profondo: carnagione chiara
	🙇🏼;persona che fa un inchino profondo: carnagione abbastanza chiara;carnagione abbastanza chiara|gesto|mi dispiace|persona|persona che fa un inchino profondo|persona che fa un inchino profondo: carnagione abbastanza chiara
	🙇🏽;persona che fa un inchino profondo: carnagione olivastra;carnagione olivastra|gesto|mi dispiace|persona|persona che fa un inchino profondo|persona che fa un inchino profondo: carnagione olivastra
	🙇🏾;persona che fa un inchino profondo: carnagione abbastanza scura;carnagione abbastanza scura|gesto|mi dispiace|persona|persona che fa un inchino profondo|persona che fa un inchino profondo: carnagione abbastanza scura
	🙇🏿;persona che fa un inchino profondo: carnagione scura;carnagione scura|gesto|mi dispiace|persona|persona che fa un inchino profondo|persona che fa un inchino profondo: carnagione scura
🙇‍♂️;uomo che fa inchino profondo;gesto|inchino|scuse|uomo|uomo che fa inchino profondo
	🙇🏻‍♂️;uomo che fa inchino profondo: carnagione chiara;carnagione chiara|gesto|inchino|scuse|uomo|uomo che fa inchino profondo|uomo che fa inchino profondo: carnagione chiara
	🙇🏼‍♂️;uomo che fa inchino profondo: carnagione abbastanza chiara;carnagione abbastanza chiara|gesto|inchino|scuse|uomo|uomo che fa inchino profondo|uomo che fa inchino profondo: carnagione abbastanza chiara
	🙇🏽‍♂️;uomo che fa inchino profondo: carnagione olivastra;carnagione olivastra|gesto|inchino|scuse|uomo|uomo che fa inchino profondo|uomo che fa inchino profondo: carnagione olivastra
	🙇🏾‍♂️;uomo che fa inchino profondo: carnagione abbastanza scura;carnagione abbastanza scura|gesto|inchino|scuse|uomo|uomo che fa inchino profondo|uomo che fa inchino profondo: carnagione abbastanza scura
	🙇🏿‍♂️;uomo che fa inchino profondo: carnagione scura;carnagione scura|gesto|inchino|scuse|uomo|uomo che fa inchino profondo|uomo che fa inchino profondo: carnagione scura
🙇‍♀️;donna che fa inchino profondo;donna|donna che fa inchino profondo|gesto|inchino|scuse
	🙇🏻‍♀️;donna che fa inchino profondo: carnagione chiara;carnagione chiara|donna|donna che fa inchino profondo|donna che fa inchino profondo: carnagione chiara|gesto|inchino|scuse
	🙇🏼‍♀️;donna che fa inchino profondo: carnagione abbastanza chiara;carnagione abbastanza chiara|donna|donna che fa inchino profondo|donna che fa inchino profondo: carnagione abbastanza chiara|gesto|inchino|scuse
	🙇🏽‍♀️;donna che fa inchino profondo: carnagione olivastra;carnagione olivastra|donna|donna che fa inchino profondo|donna che fa inchino profondo: carnagione olivastra|gesto|inchino|scuse
	🙇🏾‍♀️;donna che fa inchino profondo: carnagione abbastanza scura;carnagione abbastanza scura|donna|donna che fa inchino profondo|donna che fa inchino profondo: carnagione abbastanza scura|gesto|inchino|scuse
	🙇🏿‍♀️;donna che fa inchino profondo: carnagione scura;carnagione scura|donna|donna che fa inchino profondo|donna che fa inchino profondo: carnagione scura|gesto|inchino|scuse
🤦;persona esasperata;esasperazione|facepalm|incredulità|mano in fronte|persona esasperata
	🤦🏻;persona esasperata: carnagione chiara;carnagione chiara|esasperazione|facepalm|incredulità|mano in fronte|persona esasperata|persona esasperata: carnagione chiara
	🤦🏼;persona esasperata: carnagione abbastanza chiara;carnagione abbastanza chiara|esasperazione|facepalm|incredulità|mano in fronte|persona esasperata|persona esasperata: carnagione abbastanza chiara
	🤦🏽;persona esasperata: carnagione olivastra;carnagione olivastra|esasperazione|facepalm|incredulità|mano in fronte|persona esasperata|persona esasperata: carnagione olivastra
	🤦🏾;persona esasperata: carnagione abbastanza scura;carnagione abbastanza scura|esasperazione|facepalm|incredulità|mano in fronte|persona esasperata|persona esasperata: carnagione abbastanza scura
	🤦🏿;persona esasperata: carnagione scura;carnagione scura|esasperazione|facepalm|incredulità|mano in fronte|persona esasperata|persona esasperata: carnagione scura
🤦‍♂️;uomo esasperato;esasperazione|facepalm|gesto|uomo|uomo esasperato
	🤦🏻‍♂️;uomo esasperato: carnagione chiara;carnagione chiara|esasperazione|facepalm|gesto|uomo|uomo esasperato|uomo esasperato: carnagione chiara
	🤦🏼‍♂️;uomo esasperato: carnagione abbastanza chiara;carnagione abbastanza chiara|esasperazione|facepalm|gesto|uomo|uomo esasperato|uomo esasperato: carnagione abbastanza chiara
	🤦🏽‍♂️;uomo esasperato: carnagione olivastra;carnagione olivastra|esasperazione|facepalm|gesto|uomo|uomo esasperato|uomo esasperato: carnagione olivastra
	🤦🏾‍♂️;uomo esasperato: carnagione abbastanza scura;carnagione abbastanza scura|esasperazione|facepalm|gesto|uomo|uomo esasperato|uomo esasperato: carnagione abbastanza scura
	🤦🏿‍♂️;uomo esasperato: carnagione scura;carnagione scura|esasperazione|facepalm|gesto|uomo|uomo esasperato|uomo esasperato: carnagione scura
🤦‍♀️;donna esasperata;donna|donna esasperata|esasperazione|facepalm|gesto
	🤦🏻‍♀️;donna esasperata: carnagione chiara;carnagione chiara|donna|donna esasperata|donna esasperata: carnagione chiara|esasperazione|facepalm|gesto
	🤦🏼‍♀️;donna esasperata: carnagione abbastanza chiara;carnagione abbastanza chiara|donna|donna esasperata|donna esasperata: carnagione abbastanza chiara|esasperazione|facepalm|gesto
	🤦🏽‍♀️;donna esasperata: carnagione olivastra;carnagione olivastra|donna|donna esasperata|donna esasperata: carnagione olivastra|esasperazione|facepalm|gesto
	🤦🏾‍♀️;donna esasperata: carnagione abbastanza scura;carnagione abbastanza scura|donna|donna esasperata|donna esasperata: carnagione abbastanza scura|esasperazione|facepalm|gesto
	🤦🏿‍♀️;donna esasperata: carnagione scura;carnagione scura|donna|donna esasperata|donna esasperata: carnagione scura|esasperazione|facepalm|gesto
🤷;persona che scrolla le spalle;dubbio|indifferenza|noncuranza|persona che scrolla le spalle|spalle alzate
	🤷🏻;persona che scrolla le spalle: carnagione chiara;carnagione chiara|dubbio|indifferenza|noncuranza|persona che scrolla le spalle|persona che scrolla le spalle: carnagione chiara|spalle alzate
	🤷🏼;persona che scrolla le spalle: carnagione abbastanza chiara;carnagione abbastanza chiara|dubbio|indifferenza|noncuranza|persona che scrolla le spalle|persona che scrolla le spalle: carnagione abbastanza chiara|spalle alzate
	🤷🏽;persona che scrolla le spalle: carnagione olivastra;carnagione olivastra|dubbio|indifferenza|noncuranza|persona che scrolla le spalle|persona che scrolla le spalle: carnagione olivastra|spalle alzate
	🤷🏾;persona che scrolla le spalle: carnagione abbastanza scura;carnagione abbastanza scura|dubbio|indifferenza|noncuranza|persona che scrolla le spalle|persona che scrolla le spalle: carnagione abbastanza scura|spalle alzate
	🤷🏿;persona che scrolla le spalle: carnagione scura;carnagione scura|dubbio|indifferenza|noncuranza|persona che scrolla le spalle|persona che scrolla le spalle: carnagione scura|spalle alzate
🤷‍♂️;uomo che scrolla le spalle;dubitare|gesto|indifferenza|uomo|uomo che scrolla le spalle
	🤷🏻‍♂️;uomo che scrolla le spalle: carnagione chiara;carnagione chiara|dubitare|gesto|indifferenza|uomo|uomo che scrolla le spalle|uomo che scrolla le spalle: carnagione chiara
	🤷🏼‍♂️;uomo che scrolla le spalle: carnagione abbastanza chiara;carnagione abbastanza chiara|dubitare|gesto|indifferenza|uomo|uomo che scrolla le spalle|uomo che scrolla le spalle: carnagione abbastanza chiara
	🤷🏽‍♂️;uomo che scrolla le spalle: carnagione olivastra;carnagione olivastra|dubitare|gesto|indifferenza|uomo|uomo che scrolla le spalle|uomo che scrolla le spalle: carnagione olivastra
	🤷🏾‍♂️;uomo che scrolla le spalle: carnagione abbastanza scura;carnagione abbastanza scura|dubitare|gesto|indifferenza|uomo|uomo che scrolla le spalle|uomo che scrolla le spalle: carnagione abbastanza scura
	🤷🏿‍♂️;uomo che scrolla le spalle: carnagione scura;carnagione scura|dubitare|gesto|indifferenza|uomo|uomo che scrolla le spalle|uomo che scrolla le spalle: carnagione scura
🤷‍♀️;donna che scrolla le spalle;donna|donna che scrolla le spalle|dubitare|gesto|indifferenza
	🤷🏻‍♀️;donna che scrolla le spalle: carnagione chiara;carnagione chiara|donna|donna che scrolla le spalle|donna che scrolla le spalle: carnagione chiara|dubitare|gesto|indifferenza
	🤷🏼‍♀️;donna che scrolla le spalle: carnagione abbastanza chiara;carnagione abbastanza chiara|donna|donna che scrolla le spalle|donna che scrolla le spalle: carnagione abbastanza chiara|dubitare|gesto|indifferenza
	🤷🏽‍♀️;donna che scrolla le spalle: carnagione olivastra;carnagione olivastra|donna|donna che scrolla le spalle|donna che scrolla le spalle: carnagione olivastra|dubitare|gesto|indifferenza
	🤷🏾‍♀️;donna che scrolla le spalle: carnagione abbastanza scura;carnagione abbastanza scura|donna|donna che scrolla le spalle|donna che scrolla le spalle: carnagione abbastanza scura|dubitare|gesto|indifferenza
	🤷🏿‍♀️;donna che scrolla le spalle: carnagione scura;carnagione scura|donna|donna che scrolla le spalle|donna che scrolla le spalle: carnagione scura|dubitare|gesto|indifferenza
🧑‍⚕️;persona che lavora nella sanità;infermiera|infermiere|medico|persona che lavora nella sanità|sanità|terapista
	🧑🏻‍⚕️;persona che lavora nella sanità: carnagione chiara;carnagione chiara|infermiera|infermiere|medico|persona che lavora nella sanità|persona che lavora nella sanità: carnagione chiara|sanità|terapista
	🧑🏼‍⚕️;persona che lavora nella sanità: carnagione abbastanza chiara;carnagione abbastanza chiara|infermiera|infermiere|medico|persona che lavora nella sanità|persona che lavora nella sanità: carnagione abbastanza chiara|sanità|terapista
	🧑🏽‍⚕️;persona che lavora nella sanità: carnagione olivastra;carnagione olivastra|infermiera|infermiere|medico|persona che lavora nella sanità|persona che lavora nella sanità: carnagione olivastra|sanità|terapista
	🧑🏾‍⚕️;persona che lavora nella sanità: carnagione abbastanza scura;carnagione abbastanza scura|infermiera|infermiere|medico|persona che lavora nella sanità|persona che lavora nella sanità: carnagione abbastanza scura|sanità|terapista
	🧑🏿‍⚕️;persona che lavora nella sanità: carnagione scura;carnagione scura|infermiera|infermiere|medico|persona che lavora nella sanità|persona che lavora nella sanità: carnagione scura|sanità|terapista
👨‍⚕️;operatore sanitario;camice|dottore|operatore sanitario|ospedale|uomo
	👨🏻‍⚕️;operatore sanitario: carnagione chiara;camice|carnagione chiara|dottore|operatore sanitario|operatore sanitario: carnagione chiara|ospedale|uomo
	👨🏼‍⚕️;operatore sanitario: carnagione abbastanza chiara;camice|carnagione abbastanza chiara|dottore|operatore sanitario|operatore sanitario: carnagione abbastanza chiara|ospedale|uomo
	👨🏽‍⚕️;operatore sanitario: carnagione olivastra;camice|carnagione olivastra|dottore|operatore sanitario|operatore sanitario: carnagione olivastra|ospedale|uomo
	👨🏾‍⚕️;operatore sanitario: carnagione abbastanza scura;camice|carnagione abbastanza scura|dottore|operatore sanitario|operatore sanitario: carnagione abbastanza scura|ospedale|uomo
	👨🏿‍⚕️;operatore sanitario: carnagione scura;camice|carnagione scura|dottore|operatore sanitario|operatore sanitario: carnagione scura|ospedale|uomo
👩‍⚕️;operatrice sanitaria;camice|donna|dottoressa|operatrice sanitaria|ospedale
	👩🏻‍⚕️;operatrice sanitaria: carnagione chiara;camice|carnagione chiara|donna|dottoressa|operatrice sanitaria|operatrice sanitaria: carnagione chiara|ospedale
	👩🏼‍⚕️;operatrice sanitaria: carnagione abbastanza chiara;camice|carnagione abbastanza chiara|donna|dottoressa|operatrice sanitaria|operatrice sanitaria: carnagione abbastanza chiara|ospedale
	👩🏽‍⚕️;operatrice sanitaria: carnagione olivastra;camice|carnagione olivastra|donna|dottoressa|operatrice sanitaria|operatrice sanitaria: carnagione olivastra|ospedale
	👩🏾‍⚕️;operatrice sanitaria: carnagione abbastanza scura;camice|carnagione abbastanza scura|donna|dottoressa|operatrice sanitaria|operatrice sanitaria: carnagione abbastanza scura|ospedale
	👩🏿‍⚕️;operatrice sanitaria: carnagione scura;camice|carnagione scura|donna|dottoressa|operatrice sanitaria|operatrice sanitaria: carnagione scura|ospedale
🧑‍🎓;studente;diploma|studente|studentessa
	🧑🏻‍🎓;studente: carnagione chiara;carnagione chiara|diploma|studente|studente: carnagione chiara|studentessa
	🧑🏼‍🎓;studente: carnagione abbastanza chiara;carnagione abbastanza chiara|diploma|studente|studente: carnagione abbastanza chiara|studentessa
	🧑🏽‍🎓;studente: carnagione olivastra;carnagione olivastra|diploma|studente|studente: carnagione olivastra|studentessa
	🧑🏾‍🎓;studente: carnagione abbastanza scura;carnagione abbastanza scura|diploma|studente|studente: carnagione abbastanza scura|studentessa
	🧑🏿‍🎓;studente: carnagione scura;carnagione scura|diploma|studente|studente: carnagione scura|studentessa
👨‍🎓;studente maschio;laurea|maschio|ragazzo|studente
	👨🏻‍🎓;studente maschio: carnagione chiara;carnagione chiara|laurea|maschio|ragazzo|studente|studente maschio: carnagione chiara
	👨🏼‍🎓;studente maschio: carnagione abbastanza chiara;carnagione abbastanza chiara|laurea|maschio|ragazzo|studente|studente maschio: carnagione abbastanza chiara
	👨🏽‍🎓;studente maschio: carnagione olivastra;carnagione olivastra|laurea|maschio|ragazzo|studente|studente maschio: carnagione olivastra
	👨🏾‍🎓;studente maschio: carnagione abbastanza scura;carnagione abbastanza scura|laurea|maschio|ragazzo|studente|studente maschio: carnagione abbastanza scura
	👨🏿‍🎓;studente maschio: carnagione scura;carnagione scura|laurea|maschio|ragazzo|studente|studente maschio: carnagione scura
👩‍🎓;studentessa;femmina|laurea|ragazza|studentessa
	👩🏻‍🎓;studentessa: carnagione chiara;carnagione chiara|femmina|laurea|ragazza|studentessa|studentessa: carnagione chiara
	👩🏼‍🎓;studentessa: carnagione abbastanza chiara;carnagione abbastanza chiara|femmina|laurea|ragazza|studentessa|studentessa: carnagione abbastanza chiara
	👩🏽‍🎓;studentessa: carnagione olivastra;carnagione olivastra|femmina|laurea|ragazza|studentessa|studentessa: carnagione olivastra
	👩🏾‍🎓;studentessa: carnagione abbastanza scura;carnagione abbastanza scura|femmina|laurea|ragazza|studentessa|studentessa: carnagione abbastanza scura
	👩🏿‍🎓;studentessa: carnagione scura;carnagione scura|femmina|laurea|ragazza|studentessa|studentessa: carnagione scura
🧑‍🏫;insegnante;insegnante|maestra|maestro|professore|professoressa
	🧑🏻‍🏫;insegnante: carnagione chiara;carnagione chiara|insegnante|insegnante: carnagione chiara|maestra|maestro|professore|professoressa
	🧑🏼‍🏫;insegnante: carnagione abbastanza chiara;carnagione abbastanza chiara|insegnante|insegnante: carnagione abbastanza chiara|maestra|maestro|professore|professoressa
	🧑🏽‍🏫;insegnante: carnagione olivastra;carnagione olivastra|insegnante|insegnante: carnagione olivastra|maestra|maestro|professore|professoressa
	🧑🏾‍🏫;insegnante: carnagione abbastanza scura;carnagione abbastanza scura|insegnante|insegnante: carnagione abbastanza scura|maestra|maestro|professore|professoressa
	🧑🏿‍🏫;insegnante: carnagione scura;carnagione scura|insegnante|insegnante: carnagione scura|maestra|maestro|professore|professoressa
👨‍🏫;professore;insegnante|professore|scuola|studio
	👨🏻‍🏫;professore: carnagione chiara;carnagione chiara|insegnante|professore|professore: carnagione chiara|scuola|studio
	👨🏼‍🏫;professore: carnagione abbastanza chiara;carnagione abbastanza chiara|insegnante|professore|professore: carnagione abbastanza chiara|scuola|studio
	👨🏽‍🏫;professore: carnagione olivastra;carnagione olivastra|insegnante|professore|professore: carnagione olivastra|scuola|studio
	👨🏾‍🏫;professore: carnagione abbastanza scura;carnagione abbastanza scura|insegnante|professore|professore: carnagione abbastanza scura|scuola|studio
	👨🏿‍🏫;professore: carnagione scura;carnagione scura|insegnante|professore|professore: carnagione scura|scuola|studio
👩‍🏫;professoressa;insegnante|professoressa|scuola|studio
	👩🏻‍🏫;professoressa: carnagione chiara;carnagione chiara|insegnante|professoressa|professoressa: carnagione chiara|scuola|studio
	👩🏼‍🏫;professoressa: carnagione abbastanza chiara;carnagione abbastanza chiara|insegnante|professoressa|professoressa: carnagione abbastanza chiara|scuola|studio
	👩🏽‍🏫;professoressa: carnagione olivastra;carnagione olivastra|insegnante|professoressa|professoressa: carnagione olivastra|scuola|studio
	👩🏾‍🏫;professoressa: carnagione abbastanza scura;carnagione abbastanza scura|insegnante|professoressa|professoressa: carnagione abbastanza scura|scuola|studio
	👩🏿‍🏫;professoressa: carnagione scura;carnagione scura|insegnante|professoressa|professoressa: carnagione scura|scuola|studio
🧑‍⚖️;giudice;bilancia|giudice|giustizia
	🧑🏻‍⚖️;giudice: carnagione chiara;bilancia|carnagione chiara|giudice|giudice: carnagione chiara|giustizia
	🧑🏼‍⚖️;giudice: carnagione abbastanza chiara;bilancia|carnagione abbastanza chiara|giudice|giudice: carnagione abbastanza chiara|giustizia
	🧑🏽‍⚖️;giudice: carnagione olivastra;bilancia|carnagione olivastra|giudice|giudice: carnagione olivastra|giustizia
	🧑🏾‍⚖️;giudice: carnagione abbastanza scura;bilancia|carnagione abbastanza scura|giudice|giudice: carnagione abbastanza scura|giustizia
	🧑🏿‍⚖️;giudice: carnagione scura;bilancia|carnagione scura|giudice|giudice: carnagione scura|giustizia
👨‍⚖️;giudice uomo;bilancia|giudice|giustizia|uomo
	👨🏻‍⚖️;giudice uomo: carnagione chiara;bilancia|carnagione chiara|giudice|giudice uomo: carnagione chiara|giustizia|uomo
	👨🏼‍⚖️;giudice uomo: carnagione abbastanza chiara;bilancia|carnagione abbastanza chiara|giudice|giudice uomo: carnagione abbastanza chiara|giustizia|uomo
	👨🏽‍⚖️;giudice uomo: carnagione olivastra;bilancia|carnagione olivastra|giudice|giudice uomo: carnagione olivastra|giustizia|uomo
	👨🏾‍⚖️;giudice uomo: carnagione abbastanza scura;bilancia|carnagione abbastanza scura|giudice|giudice uomo: carnagione abbastanza scura|giustizia|uomo
	👨🏿‍⚖️;giudice uomo: carnagione scura;bilancia|carnagione scura|giudice|giudice uomo: carnagione scura|giustizia|uomo
👩‍⚖️;giudice donna;bilancia|donna|giudice|giustizia
	👩🏻‍⚖️;giudice donna: carnagione chiara;bilancia|carnagione chiara|donna|giudice|giudice donna: carnagione chiara|giustizia
	👩🏼‍⚖️;giudice donna: carnagione abbastanza chiara;bilancia|carnagione abbastanza chiara|donna|giudice|giudice donna: carnagione abbastanza chiara|giustizia
	👩🏽‍⚖️;giudice donna: carnagione olivastra;bilancia|carnagione olivastra|donna|giudice|giudice donna: carnagione olivastra|giustizia
	👩🏾‍⚖️;giudice donna: carnagione abbastanza scura;bilancia|carnagione abbastanza scura|donna|giudice|giudice donna: carnagione abbastanza scura|giustizia
	👩🏿‍⚖️;giudice donna: carnagione scura;bilancia|carnagione scura|donna|giudice|giudice donna: carnagione scura|giustizia
🧑‍🌾;agricoltore;agricoltore|allevatore|contadino|giardiniere
	🧑🏻‍🌾;agricoltore: carnagione chiara;agricoltore|agricoltore: carnagione chiara|allevatore|carnagione chiara|contadino|giardiniere
	🧑🏼‍🌾;agricoltore: carnagione abbastanza chiara;agricoltore|agricoltore: carnagione abbastanza chiara|allevatore|carnagione abbastanza chiara|contadino|giardiniere
	🧑🏽‍🌾;agricoltore: carnagione olivastra;agricoltore|agricoltore: carnagione olivastra|allevatore|carnagione olivastra|contadino|giardiniere
	🧑🏾‍🌾;agricoltore: carnagione abbastanza scura;agricoltore|agricoltore: carnagione abbastanza scura|allevatore|carnagione abbastanza scura|contadino|giardiniere
	🧑🏿‍🌾;agricoltore: carnagione scura;agricoltore|agricoltore: carnagione scura|allevatore|carnagione scura|contadino|giardiniere
👨‍🌾;contadino;allevatore|contadino|fattoria|uomo
	👨🏻‍🌾;contadino: carnagione chiara;allevatore|carnagione chiara|contadino|contadino: carnagione chiara|fattoria|uomo
	👨🏼‍🌾;contadino: carnagione abbastanza chiara;allevatore|carnagione abbastanza chiara|contadino|contadino: carnagione abbastanza chiara|fattoria|uomo
	👨🏽‍🌾;contadino: carnagione olivastra;allevatore|carnagione olivastra|contadino|contadino: carnagione olivastra|fattoria|uomo
	👨🏾‍🌾;contadino: carnagione abbastanza scura;allevatore|carnagione abbastanza scura|contadino|contadino: carnagione abbastanza scura|fattoria|uomo
	👨🏿‍🌾;contadino: carnagione scura;allevatore|carnagione scura|contadino|contadino: carnagione scura|fattoria|uomo
👩‍🌾;contadina;allevatrice|contadina|donna|fattoria
	👩🏻‍🌾;contadina: carnagione chiara;allevatrice|carnagione chiara|contadina|contadina: carnagione chiara|donna|fattoria
	👩🏼‍🌾;contadina: carnagione abbastanza chiara;allevatrice|carnagione abbastanza chiara|contadina|contadina: carnagione abbastanza chiara|donna|fattoria
	👩🏽‍🌾;contadina: carnagione olivastra;allevatrice|carnagione olivastra|contadina|contadina: carnagione olivastra|donna|fattoria
	👩🏾‍🌾;contadina: carnagione abbastanza scura;allevatrice|carnagione abbastanza scura|contadina|contadina: carnagione abbastanza scura|donna|fattoria
	👩🏿‍🌾;contadina: carnagione scura;allevatrice|carnagione scura|contadina|contadina: carnagione scura|donna|fattoria
🧑‍🍳;persona che cucina;chef|cuoco|persona che cucina
	🧑🏻‍🍳;persona che cucina: carnagione chiara;carnagione chiara|chef|cuoco|persona che cucina|persona che cucina: carnagione chiara
	🧑🏼‍🍳;persona che cucina: carnagione abbastanza chiara;carnagione abbastanza chiara|chef|cuoco|persona che cucina|persona che cucina: carnagione abbastanza chiara
	🧑🏽‍🍳;persona che cucina: carnagione olivastra;carnagione olivastra|chef|cuoco|persona che cucina|persona che cucina: carnagione olivastra
	🧑🏾‍🍳;persona che cucina: carnagione abbastanza scura;carnagione abbastanza scura|chef|cuoco|persona che cucina|persona che cucina: carnagione abbastanza scura
	🧑🏿‍🍳;persona che cucina: carnagione scura;carnagione scura|chef|cuoco|persona che cucina|persona che cucina: carnagione scura
👨‍🍳;cuoco;chef|cucinare|cuoco|uomo
	👨🏻‍🍳;cuoco: carnagione chiara;carnagione chiara|chef|cucinare|cuoco|cuoco: carnagione chiara|uomo
	👨🏼‍🍳;cuoco: carnagione abbastanza chiara;carnagione abbastanza chiara|chef|cucinare|cuoco|cuoco: carnagione abbastanza chiara|uomo
	👨🏽‍🍳;cuoco: carnagione olivastra;carnagione olivastra|chef|cucinare|cuoco|cuoco: carnagione olivastra|uomo
	👨🏾‍🍳;cuoco: carnagione abbastanza scura;carnagione abbastanza scura|chef|cucinare|cuoco|cuoco: carnagione abbastanza scura|uomo
	👨🏿‍🍳;cuoco: carnagione scura;carnagione scura|chef|cucinare|cuoco|cuoco: carnagione scura|uomo
👩‍🍳;cuoca;chef|cucinare|cuoca|donna
	👩🏻‍🍳;cuoca: carnagione chiara;carnagione chiara|chef|cucinare|cuoca|cuoca: carnagione chiara|donna
	👩🏼‍🍳;cuoca: carnagione abbastanza chiara;carnagione abbastanza chiara|chef|cucinare|cuoca|cuoca: carnagione abbastanza chiara|donna
	👩🏽‍🍳;cuoca: carnagione olivastra;carnagione olivastra|chef|cucinare|cuoca|cuoca: carnagione olivastra|donna
	👩🏾‍🍳;cuoca: carnagione abbastanza scura;carnagione abbastanza scura|chef|cucinare|cuoca|cuoca: carnagione abbastanza scura|donna
	👩🏿‍🍳;cuoca: carnagione scura;carnagione scura|chef|cucinare|cuoca|cuoca: carnagione scura|donna
🧑‍🔧;meccanico;elettricista|idraulico|meccanico|tecnico specializzato
	🧑🏻‍🔧;meccanico: carnagione chiara;carnagione chiara|elettricista|idraulico|meccanico|meccanico: carnagione chiara|tecnico specializzato
	🧑🏼‍🔧;meccanico: carnagione abbastanza chiara;carnagione abbastanza chiara|elettricista|idraulico|meccanico|meccanico: carnagione abbastanza chiara|tecnico specializzato
	🧑🏽‍🔧;meccanico: carnagione olivastra;carnagione olivastra|elettricista|idraulico|meccanico|meccanico: carnagione olivastra|tecnico specializzato
	🧑🏾‍🔧;meccanico: carnagione abbastanza scura;carnagione abbastanza scura|elettricista|idraulico|meccanico|meccanico: carnagione abbastanza scura|tecnico specializzato
	🧑🏿‍🔧;meccanico: carnagione scura;carnagione scura|elettricista|idraulico|meccanico|meccanico: carnagione scura|tecnico specializzato
👨‍🔧;meccanico uomo;chiave inglese|idraulico|meccanico|tecnico specializzato|uomo
	👨🏻‍🔧;meccanico uomo: carnagione chiara;carnagione chiara|chiave inglese|idraulico|meccanico|meccanico uomo: carnagione chiara|tecnico specializzato|uomo
	👨🏼‍🔧;meccanico uomo: carnagione abbastanza chiara;carnagione abbastanza chiara|chiave inglese|idraulico|meccanico|meccanico uomo: carnagione abbastanza chiara|tecnico specializzato|uomo
	👨🏽‍🔧;meccanico uomo: carnagione olivastra;carnagione olivastra|chiave inglese|idraulico|meccanico|meccanico uomo: carnagione olivastra|tecnico specializzato|uomo
	👨🏾‍🔧;meccanico uomo: carnagione abbastanza scura;carnagione abbastanza scura|chiave inglese|idraulico|meccanico|meccanico uomo: carnagione abbastanza scura|tecnico specializzato|uomo
	👨🏿‍🔧;meccanico uomo: carnagione scura;carnagione scura|chiave inglese|idraulico|meccanico|meccanico uomo: carnagione scura|tecnico specializzato|uomo
👩‍🔧;meccanico donna;chiave inglese|donna|idraulico donna|meccanico|tecnico specializzato
	👩🏻‍🔧;meccanico donna: carnagione chiara;carnagione chiara|chiave inglese|donna|idraulico donna|meccanico|meccanico donna: carnagione chiara|tecnico specializzato
	👩🏼‍🔧;meccanico donna: carnagione abbastanza chiara;carnagione abbastanza chiara|chiave inglese|donna|idraulico donna|meccanico|meccanico donna: carnagione abbastanza chiara|tecnico specializzato
	👩🏽‍🔧;meccanico donna: carnagione olivastra;carnagione olivastra|chiave inglese|donna|idraulico donna|meccanico|meccanico donna: carnagione olivastra|tecnico specializzato
	👩🏾‍🔧;meccanico donna: carnagione abbastanza scura;carnagione abbastanza scura|chiave inglese|donna|idraulico donna|meccanico|meccanico donna: carnagione abbastanza scura|tecnico specializzato
	👩🏿‍🔧;meccanico donna: carnagione scura;carnagione scura|chiave inglese|donna|idraulico donna|meccanico|meccanico donna: carnagione scura|tecnico specializzato
🧑‍🏭;persona che lavora in fabbrica;assemblaggio|fabbrica|industria|operaio|persona che lavora in fabbrica
	🧑🏻‍🏭;persona che lavora in fabbrica: carnagione chiara;assemblaggio|carnagione chiara|fabbrica|industria|operaio|persona che lavora in fabbrica|persona che lavora in fabbrica: carnagione chiara
	🧑🏼‍🏭;persona che lavora in fabbrica: carnagione abbastanza chiara;assemblaggio|carnagione abbastanza chiara|fabbrica|industria|operaio|persona che lavora in fabbrica|persona che lavora in fabbrica: carnagione abbastanza chiara
	🧑🏽‍🏭;persona che lavora in fabbrica: carnagione olivastra;assemblaggio|carnagione olivastra|fabbrica|industria|operaio|persona che lavora in fabbrica|persona che lavora in fabbrica: carnagione olivastra
	🧑🏾‍🏭;persona che lavora in fabbrica: carnagione abbastanza scura;assemblaggio|carnagione abbastanza scura|fabbrica|industria|operaio|persona che lavora in fabbrica|persona che lavora in fabbrica: carnagione abbastanza scura
	🧑🏿‍🏭;persona che lavora in fabbrica: carnagione scura;assemblaggio|carnagione scura|fabbrica|industria|operaio|persona che lavora in fabbrica|persona che lavora in fabbrica: carnagione scura
👨‍🏭;operaio;fabbrica|industria|operaio|uomo
	👨🏻‍🏭;operaio: carnagione chiara;carnagione chiara|fabbrica|industria|operaio|operaio: carnagione chiara|uomo
	👨🏼‍🏭;operaio: carnagione abbastanza chiara;carnagione abbastanza chiara|fabbrica|industria|operaio|operaio: carnagione abbastanza chiara|uomo
	👨🏽‍🏭;operaio: carnagione olivastra;carnagione olivastra|fabbrica|industria|operaio|operaio: carnagione olivastra|uomo
	👨🏾‍🏭;operaio: carnagione abbastanza scura;carnagione abbastanza scura|fabbrica|industria|operaio|operaio: carnagione abbastanza scura|uomo
