# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinsendes Gesicht;Gesicht|grinsendes Gesicht|lol|lustig
	🧑🏿‍🦱;Person: dunkle Hautfarbe, lockiges Haar;dunkle Hautfarbe|erwachsene Person|geschlechtsneutral|lockiges Haar|Mensch|ohne eindeutiges Geschlecht|Person|Person: dunkle Hautfarbe, lockiges Haar
👩‍🦳;Frau: weißes Haar;Frau|Frau: weißes Haar|weißes Haar
	👩🏻‍🦳;Frau: helle Hautfarbe, weißes Haar;Frau|Frau: helle Hautfarbe, weißes Haar|helle Hautfarbe|weißes Haar
	👩🏼‍🦳;Frau: mittelhelle Hautfarbe, weißes Haar;Frau|Frau: mittelhelle Hautfarbe, weißes Haar|mittelhelle Hautfarbe|weißes Haar
	👩🏽‍🦳;Frau: mittlere Hautfarbe, weißes Haar;Frau|Frau: mittlere Hautfarbe, weißes Haar|mittlere Hautfarbe|weißes Haar
	👩🏾‍🦳;Frau: mitteldunkle Hautfarbe, weißes Haar;Frau|Frau: mitteldunkle Hautfarbe, weißes Haar|mitteldunkle Hautfarbe|weißes Haar
	👩🏿‍🦳;Frau: dunkle Hautfarbe, weißes Haar;dunkle Hautfarbe|Frau|Frau: dunkle Hautfarbe, weißes Haar|weißes Haar
🧑‍🦳;Person: weißes Haar;erwachsene Person|geschlechtsneutral|Mensch|ohne eindeutiges Geschlecht|Person|Person: weißes Haar|weißes Haar
	🧑🏻‍🦳;Person: helle Hautfarbe, weißes Haar;erwachsene Person|geschlechtsneutral|helle Hautfarbe|Mensch|ohne eindeutiges Geschlecht|Person|Person: helle Hautfarbe, weißes Haar|weißes Haar
	🧑🏼‍🦳;Person: mittelhelle Hautfarbe, weißes Haar;erwachsene Person|geschlechtsneutral|Mensch|mittelhelle Hautfarbe|ohne eindeutiges Geschlecht|Person|Person: mittelhelle Hautfarbe, weißes Haar|weißes Haar
	🧑🏽‍🦳;Person: mittlere Hautfarbe, weißes Haar;erwachsene Person|geschlechtsneutral|Mensch|mittlere Hautfarbe|ohne eindeutiges Geschlecht|Person|Person: mittlere Hautfarbe, weißes Haar|weißes Haar
	🧑🏾‍🦳;Person: mitteldunkle Hautfarbe, weißes Haar;erwachsene Person|geschlechtsneutral|Mensch|mitteldunkle Hautfarbe|ohne eindeutiges Geschlecht|Person|Person: mitteldunkle Hautfarbe, weißes Haar|weißes Haar
	🧑🏿‍🦳;Person: dunkle Hautfarbe, weißes Haar;dunkle Hautfarbe|erwachsene Person|geschlechtsneutral|Mensch|ohne eindeutiges Geschlecht|Person|Person: dunkle Hautfarbe, weißes Haar|weißes Haar
👩‍🦲;Frau: Glatze;Frau|Frau: Glatze|Glatze
	👩🏻‍🦲;Frau: helle Hautfarbe, Glatze;Frau|Frau: helle Hautfarbe, Glatze|Glatze|helle Hautfarbe
	👩🏼‍🦲;Frau: mittelhelle Hautfarbe, Glatze;Frau|Frau: mittelhelle Hautfarbe, Glatze|Glatze|mittelhelle Hautfarbe
	👩🏽‍🦲;Frau: mittlere Hautfarbe, Glatze;Frau|Frau: mittlere Hautfarbe, Glatze|Glatze|mittlere Hautfarbe
	👩🏾‍🦲;Frau: mitteldunkle Hautfarbe, Glatze;Frau|Frau: mitteldunkle Hautfarbe, Glatze|Glatze|mitteldunkle Hautfarbe
	👩🏿‍🦲;Frau: dunkle Hautfarbe, Glatze;dunkle Hautfarbe|Frau|Frau: dunkle Hautfarbe, Glatze|Glatze
🧑‍🦲;Person: Glatze;erwachsene Person|geschlechtsneutral|Glatze|Mensch|ohne eindeutiges Geschlecht|Person|Person: Glatze
	🧑🏻‍🦲;Person: helle Hautfarbe, Glatze;erwachsene Person|geschlechtsneutral|Glatze|helle Hautfarbe|Mensch|ohne eindeutiges Geschlecht|Person|Person: helle Hautfarbe, Glatze
	🧑🏼‍🦲;Person: mittelhelle Hautfarbe, Glatze;erwachsene Person|geschlechtsneutral|Glatze|Mensch|mittelhelle Hautfarbe|ohne eindeutiges Geschlecht|Person|Person: mittelhelle Hautfarbe, Glatze
	🧑🏽‍🦲;Person: mittlere Hautfarbe, Glatze;erwachsene Person|geschlechtsneutral|Glatze|Mensch|mittlere Hautfarbe|ohne eindeutiges Geschlecht|Person|Person: mittlere Hautfarbe, Glatze
	🧑🏾‍🦲;Person: mitteldunkle Hautfarbe, Glatze;erwachsene Person|geschlechtsneutral|Glatze|Mensch|mitteldunkle Hautfarbe|ohne eindeutiges Geschlecht|Person|Person: mitteldunkle Hautfarbe, Glatze
	🧑🏿‍🦲;Person: dunkle Hautfarbe, Glatze;dunkle Hautfarbe|erwachsene Person|geschlechtsneutral|Glatze|Mensch|ohne eindeutiges Geschlecht|Person|Person: dunkle Hautfarbe, Glatze
👱‍♀️;Frau: blond;blond|blonde Frau|Frau|Frau: blond|Gesicht|Haar
	👱🏻‍♀️;Frau: helle Hautfarbe, blond;blond|blonde Frau|Frau|Frau: blond|Frau: helle Hautfarbe, blond|Gesicht|Haar|helle Hautfarbe
	👱🏼‍♀️;Frau: mittelhelle Hautfarbe, blond;blond|blonde Frau|Frau|Frau: blond|Frau: mittelhelle Hautfarbe, blond|Gesicht|Haar|mittelhelle Hautfarbe
	👱🏽‍♀️;Frau: mittlere Hautfarbe, blond;blond|blonde Frau|Frau|Frau: blond|Frau: mittlere Hautfarbe, blond|Gesicht|Haar|mittlere Hautfarbe
	👱🏾‍♀️;Frau: mitteldunkle Hautfarbe, blond;blond|blonde Frau|Frau|Frau: blond|Frau: mitteldunkle Hautfarbe, blond|Gesicht|Haar|mitteldunkle Hautfarbe
	👱🏿‍♀️;Frau: dunkle Hautfarbe, blond;blond|blonde Frau|dunkle Hautfarbe|Frau|Frau: blond|Frau: dunkle Hautfarbe, blond|Gesicht|Haar
👱‍♂️;Mann: blond;blond|blonder Mann|Gesicht|Haar|Mann|Mann: blond
	👱🏻‍♂️;Mann: helle Hautfarbe, blond;blond|blonder Mann|Gesicht|Haar|helle Hautfarbe|Mann|Mann: blond|Mann: helle Hautfarbe, blond
	👱🏼‍♂️;Mann: mittelhelle Hautfarbe, blond;blond|blonder Mann|Gesicht|Haar|Mann|Mann: blond|Mann: mittelhelle Hautfarbe, blond|mittelhelle Hautfarbe
	👱🏽‍♂️;Mann: mittlere Hautfarbe, blond;blond|blonder Mann|Gesicht|Haar|Mann|Mann: blond|Mann: mittlere Hautfarbe, blond|mittlere Hautfarbe
	👱🏾‍♂️;Mann: mitteldunkle Hautfarbe, blond;blond|blonder Mann|Gesicht|Haar|Mann|Mann: blond|Mann: mitteldunkle Hautfarbe, blond|mitteldunkle Hautfarbe
	👱🏿‍♂️;Mann: dunkle Hautfarbe, blond;blond|blonder Mann|dunkle Hautfarbe|Gesicht|Haar|Mann|Mann: blond|Mann: dunkle Hautfarbe, blond
🧓;ältere Person;alt|ältere Person|älterer Mensch|erwachsene Person|geschlechtsneutral|ohne eindeutiges Geschlecht
	🧓🏻;ältere Person: helle Hautfarbe;alt|ältere Person|ältere Person: helle Hautfarbe|älterer Mensch|erwachsene Person|geschlechtsneutral|helle Hautfarbe|ohne eindeutiges Geschlecht
	🧓🏼;ältere Person: mittelhelle Hautfarbe;alt|ältere Person|ältere Person: mittelhelle Hautfarbe|älterer Mensch|erwachsene Person|geschlechtsneutral|mittelhelle Hautfarbe|ohne eindeutiges Geschlecht
	🧓🏽;ältere Person: mittlere Hautfarbe;alt|ältere Person|ältere Person: mittlere Hautfarbe|älterer Mensch|erwachsene Person|geschlechtsneutral|mittlere Hautfarbe|ohne eindeutiges Geschlecht
	🧓🏾;ältere Person: mitteldunkle Hautfarbe;alt|ältere Person|ältere Person: mitteldunkle Hautfarbe|älterer Mensch|erwachsene Person|geschlechtsneutral|mitteldunkle Hautfarbe|ohne eindeutiges Geschlecht
	🧓🏿;ältere Person: dunkle Hautfarbe;alt|ältere Person|ältere Person: dunkle Hautfarbe|älterer Mensch|dunkle Hautfarbe|erwachsene Person|geschlechtsneutral|ohne eindeutiges Geschlecht
👴;älterer Mann;älterer Mann|Gesicht|Mann|Senior
	👴🏻;älterer Mann: helle Hautfarbe;älterer Mann|älterer Mann: helle Hautfarbe|Gesicht|helle Hautfarbe|Mann|Senior
	👴🏼;älterer Mann: mittelhelle Hautfarbe;älterer Mann|älterer Mann: mittelhelle Hautfarbe|Gesicht|Mann|mittelhelle Hautfarbe|Senior
	👴🏽;älterer Mann: mittlere Hautfarbe;älterer Mann|älterer Mann: mittlere Hautfarbe|Gesicht|Mann|mittlere Hautfarbe|Senior
	👴🏾;älterer Mann: mitteldunkle Hautfarbe;älterer Mann|älterer Mann: mitteldunkle Hautfarbe|Gesicht|Mann|mitteldunkle Hautfarbe|Senior
	👴🏿;älterer Mann: dunkle Hautfarbe;älterer Mann|älterer Mann: dunkle Hautfarbe|dunkle Hautfarbe|Gesicht|Mann|Senior
👵;ältere Frau;ältere Frau|Frau|Gesicht|Seniorin
	👵🏻;ältere Frau: helle Hautfarbe;ältere Frau|ältere Frau: helle Hautfarbe|Frau|Gesicht|helle Hautfarbe|Seniorin
	👵🏼;ältere Frau: mittelhelle Hautfarbe;ältere Frau|ältere Frau: mittelhelle Hautfarbe|Frau|Gesicht|mittelhelle Hautfarbe|Seniorin
	👵🏽;ältere Frau: mittlere Hautfarbe;ältere Frau|ältere Frau: mittlere Hautfarbe|Frau|Gesicht|mittlere Hautfarbe|Seniorin
	👵🏾;ältere Frau: mitteldunkle Hautfarbe;ältere Frau|ältere Frau: mitteldunkle Hautfarbe|Frau|Gesicht|mitteldunkle Hautfarbe|Seniorin
	👵🏿;ältere Frau: dunkle Hautfarbe;ältere Frau|ältere Frau: dunkle Hautfarbe|dunkle Hautfarbe|Frau|Gesicht|Seniorin
🙍;missmutige Person;Gesicht|missmutige Person
	🙍🏻;missmutige Person: helle Hautfarbe;Gesicht|helle Hautfarbe|missmutige Person|missmutige Person: helle Hautfarbe
	🙍🏼;missmutige Person: mittelhelle Hautfarbe;Gesicht|missmutige Person|missmutige Person: mittelhelle Hautfarbe|mittelhelle Hautfarbe
	🙍🏽;missmutige Person: mittlere Hautfarbe;Gesicht|missmutige Person|missmutige Person: mittlere Hautfarbe|mittlere Hautfarbe
	🙍🏾;missmutige Person: mitteldunkle Hautfarbe;Gesicht|missmutige Person|missmutige Person: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe
	🙍🏿;missmutige Person: dunkle Hautfarbe;dunkle Hautfarbe|Gesicht|missmutige Person|missmutige Person: dunkle Hautfarbe
🙍‍♂️;missmutiger Mann;Gesicht|Mann|missmutiger Mann|Stirn runzeln
	🙍🏻‍♂️;missmutiger Mann: helle Hautfarbe;Gesicht|helle Hautfarbe|Mann|missmutiger Mann|missmutiger Mann: helle Hautfarbe|Stirn runzeln
	🙍🏼‍♂️;missmutiger Mann: mittelhelle Hautfarbe;Gesicht|Mann|missmutiger Mann|missmutiger Mann: mittelhelle Hautfarbe|mittelhelle Hautfarbe|Stirn runzeln
	🙍🏽‍♂️;missmutiger Mann: mittlere Hautfarbe;Gesicht|Mann|missmutiger Mann|missmutiger Mann: mittlere Hautfarbe|mittlere Hautfarbe|Stirn runzeln
	🙍🏾‍♂️;missmutiger Mann: mitteldunkle Hautfarbe;Gesicht|Mann|missmutiger Mann|missmutiger Mann: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|Stirn runzeln
	🙍🏿‍♂️;missmutiger Mann: dunkle Hautfarbe;dunkle Hautfarbe|Gesicht|Mann|missmutiger Mann|missmutiger Mann: dunkle Hautfarbe|Stirn runzeln
🙍‍♀️;missmutige Frau;Frau|Gesicht|missmutige Frau|Stirn runzeln
	🙍🏻‍♀️;missmutige Frau: helle Hautfarbe;Frau|Gesicht|helle Hautfarbe|missmutige Frau|missmutige Frau: helle Hautfarbe|Stirn runzeln
	🙍🏼‍♀️;missmutige Frau: mittelhelle Hautfarbe;Frau|Gesicht|missmutige Frau|missmutige Frau: mittelhelle Hautfarbe|mittelhelle Hautfarbe|Stirn runzeln
	🙍🏽‍♀️;missmutige Frau: mittlere Hautfarbe;Frau|Gesicht|missmutige Frau|missmutige Frau: mittlere Hautfarbe|mittlere Hautfarbe|Stirn runzeln
	🙍🏾‍♀️;missmutige Frau: mitteldunkle Hautfarbe;Frau|Gesicht|missmutige Frau|missmutige Frau: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|Stirn runzeln
	🙍🏿‍♀️;missmutige Frau: dunkle Hautfarbe;dunkle Hautfarbe|Frau|Gesicht|missmutige Frau|missmutige Frau: dunkle Hautfarbe|Stirn runzeln
🙎;schmollende Person;Schmollen|schmollende Person
	🙎🏻;schmollende Person: helle Hautfarbe;helle Hautfarbe|Schmollen|schmollende Person|schmollende Person: helle Hautfarbe
	🙎🏼;schmollende Person: mittelhelle Hautfarbe;mittelhelle Hautfarbe|Schmollen|schmollende Person|schmollende Person: mittelhelle Hautfarbe
	🙎🏽;schmollende Person: mittlere Hautfarbe;mittlere Hautfarbe|Schmollen|schmollende Person|schmollende Person: mittlere Hautfarbe
	🙎🏾;schmollende Person: mitteldunkle Hautfarbe;mitteldunkle Hautfarbe|Schmollen|schmollende Person|schmollende Person: mitteldunkle Hautfarbe
	🙎🏿;schmollende Person: dunkle Hautfarbe;dunkle Hautfarbe|Schmollen|schmollende Person|schmollende Person: dunkle Hautfarbe
🙎‍♂️;schmollender Mann;Gesicht|Mann|schmollen|schmollender Mann
	🙎🏻‍♂️;schmollender Mann: helle Hautfarbe;Gesicht|helle Hautfarbe|Mann|schmollen|schmollender Mann|schmollender Mann: helle Hautfarbe
	🙎🏼‍♂️;schmollender Mann: mittelhelle Hautfarbe;Gesicht|Mann|mittelhelle Hautfarbe|schmollen|schmollender Mann|schmollender Mann: mittelhelle Hautfarbe
	🙎🏽‍♂️;schmollender Mann: mittlere Hautfarbe;Gesicht|Mann|mittlere Hautfarbe|schmollen|schmollender Mann|schmollender Mann: mittlere Hautfarbe
	🙎🏾‍♂️;schmollender Mann: mitteldunkle Hautfarbe;Gesicht|Mann|mitteldunkle Hautfarbe|schmollen|schmollender Mann|schmollender Mann: mitteldunkle Hautfarbe
	🙎🏿‍♂️;schmollender Mann: dunkle Hautfarbe;dunkle Hautfarbe|Gesicht|Mann|schmollen|schmollender Mann|schmollender Mann: dunkle Hautfarbe
🙎‍♀️;schmollende Frau;Frau|Gesicht|schmollen|schmollende Frau
	🙎🏻‍♀️;schmollende Frau: helle Hautfarbe;Frau|Gesicht|helle Hautfarbe|schmollen|schmollende Frau|schmollende Frau: helle Hautfarbe
	🙎🏼‍♀️;schmollende Frau: mittelhelle Hautfarbe;Frau|Gesicht|mittelhelle Hautfarbe|schmollen|schmollende Frau|schmollende Frau: mittelhelle Hautfarbe
	🙎🏽‍♀️;schmollende Frau: mittlere Hautfarbe;Frau|Gesicht|mittlere Hautfarbe|schmollen|schmollende Frau|schmollende Frau: mittlere Hautfarbe
	🙎🏾‍♀️;schmollende Frau: mitteldunkle Hautfarbe;Frau|Gesicht|mitteldunkle Hautfarbe|schmollen|schmollende Frau|schmollende Frau: mitteldunkle Hautfarbe
	🙎🏿‍♀️;schmollende Frau: dunkle Hautfarbe;dunkle Hautfarbe|Frau|Gesicht|schmollen|schmollende Frau|schmollende Frau: dunkle Hautfarbe
🙅;Person mit überkreuzten Armen;Person mit überkreuzten Armen|verboten|x
	🙅🏻;Person mit überkreuzten Armen: helle Hautfarbe;helle Hautfarbe|Person mit überkreuzten Armen|Person mit überkreuzten Armen: helle Hautfarbe|verboten|x
	🙅🏼;Person mit überkreuzten Armen: mittelhelle Hautfarbe;mittelhelle Hautfarbe|Person mit überkreuzten Armen|Person mit überkreuzten Armen: mittelhelle Hautfarbe|verboten|x
	🙅🏽;Person mit überkreuzten Armen: mittlere Hautfarbe;mittlere Hautfarbe|Person mit überkreuzten Armen|Person mit überkreuzten Armen: mittlere Hautfarbe|verboten|x
	🙅🏾;Person mit überkreuzten Armen: mitteldunkle Hautfarbe;mitteldunkle Hautfarbe|Person mit überkreuzten Armen|Person mit überkreuzten Armen: mitteldunkle Hautfarbe|verboten|x
	🙅🏿;Person mit überkreuzten Armen: dunkle Hautfarbe;dunkle Hautfarbe|Person mit überkreuzten Armen|Person mit überkreuzten Armen: dunkle Hautfarbe|verboten|x
🙅‍♂️;Mann mit überkreuzten Armen;Arme|Gesicht|Mann|Mann mit überkreuzten Armen
	🙅🏻‍♂️;Mann mit überkreuzten Armen: helle Hautfarbe;Arme|Gesicht|helle Hautfarbe|Mann|Mann mit überkreuzten Armen|Mann mit überkreuzten Armen: helle Hautfarbe
	🙅🏼‍♂️;Mann mit überkreuzten Armen: mittelhelle Hautfarbe;Arme|Gesicht|Mann|Mann mit überkreuzten Armen|Mann mit überkreuzten Armen: mittelhelle Hautfarbe|mittelhelle Hautfarbe
	🙅🏽‍♂️;Mann mit überkreuzten Armen: mittlere Hautfarbe;Arme|Gesicht|Mann|Mann mit überkreuzten Armen|Mann mit überkreuzten Armen: mittlere Hautfarbe|mittlere Hautfarbe
	🙅🏾‍♂️;Mann mit überkreuzten Armen: mitteldunkle Hautfarbe;Arme|Gesicht|Mann|Mann mit überkreuzten Armen|Mann mit überkreuzten Armen: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe
	🙅🏿‍♂️;Mann mit überkreuzten Armen: dunkle Hautfarbe;Arme|dunkle Hautfarbe|Gesicht|Mann|Mann mit überkreuzten Armen|Mann mit überkreuzten Armen: dunkle Hautfarbe
🙅‍♀️;Frau mit überkreuzten Armen;Arme|Frau|Frau mit überkreuzten Armen|Gesicht
	🙅🏻‍♀️;Frau mit überkreuzten Armen: helle Hautfarbe;Arme|Frau|Frau mit überkreuzten Armen|Frau mit überkreuzten Armen: helle Hautfarbe|Gesicht|helle Hautfarbe
	🙅🏼‍♀️;Frau mit überkreuzten Armen: mittelhelle Hautfarbe;Arme|Frau|Frau mit überkreuzten Armen|Frau mit überkreuzten Armen: mittelhelle Hautfarbe|Gesicht|mittelhelle Hautfarbe
	🙅🏽‍♀️;Frau mit überkreuzten Armen: mittlere Hautfarbe;Arme|Frau|Frau mit überkreuzten Armen|Frau mit überkreuzten Armen: mittlere Hautfarbe|Gesicht|mittlere Hautfarbe
	🙅🏾‍♀️;Frau mit überkreuzten Armen: mitteldunkle Hautfarbe;Arme|Frau|Frau mit überkreuzten Armen|Frau mit überkreuzten Armen: mitteldunkle Hautfarbe|Gesicht|mitteldunkle Hautfarbe
	🙅🏿‍♀️;Frau mit überkreuzten Armen: dunkle Hautfarbe;Arme|dunkle Hautfarbe|Frau|Frau mit überkreuzten Armen|Frau mit überkreuzten Armen: dunkle Hautfarbe|Gesicht
🙆;Person mit Händen auf dem Kopf;alles in Ordnung|o|Person mit Händen auf dem Kopf
	🙆🏻;Person mit Händen auf dem Kopf: helle Hautfarbe;alles in Ordnung|helle Hautfarbe|o|Person mit Händen auf dem Kopf|Person mit Händen auf dem Kopf: helle Hautfarbe
	🙆🏼;Person mit Händen auf dem Kopf: mittelhelle Hautfarbe;alles in Ordnung|mittelhelle Hautfarbe|o|Person mit Händen auf dem Kopf|Person mit Händen auf dem Kopf: mittelhelle Hautfarbe
	🙆🏽;Person mit Händen auf dem Kopf: mittlere Hautfarbe;alles in Ordnung|mittlere Hautfarbe|o|Person mit Händen auf dem Kopf|Person mit Händen auf dem Kopf: mittlere Hautfarbe
	🙆🏾;Person mit Händen auf dem Kopf: mitteldunkle Hautfarbe;alles in Ordnung|mitteldunkle Hautfarbe|o|Person mit Händen auf dem Kopf|Person mit Händen auf dem Kopf: mitteldunkle Hautfarbe
	🙆🏿;Person mit Händen auf dem Kopf: dunkle Hautfarbe;alles in Ordnung|dunkle Hautfarbe|o|Person mit Händen auf dem Kopf|Person mit Händen auf dem Kopf: dunkle Hautfarbe
🙆‍♂️;Mann mit Händen auf dem Kopf;Arme|Gesicht|Mann|Mann mit Händen auf dem Kopf
	🙆🏻‍♂️;Mann mit Händen auf dem Kopf: helle Hautfarbe;Arme|Gesicht|helle Hautfarbe|Mann|Mann mit Händen auf dem Kopf|Mann mit Händen auf dem Kopf: helle Hautfarbe
	🙆🏼‍♂️;Mann mit Händen auf dem Kopf: mittelhelle Hautfarbe;Arme|Gesicht|Mann|Mann mit Händen auf dem Kopf|Mann mit Händen auf dem Kopf: mittelhelle Hautfarbe|mittelhelle Hautfarbe
	🙆🏽‍♂️;Mann mit Händen auf dem Kopf: mittlere Hautfarbe;Arme|Gesicht|Mann|Mann mit Händen auf dem Kopf|Mann mit Händen auf dem Kopf: mittlere Hautfarbe|mittlere Hautfarbe
	🙆🏾‍♂️;Mann mit Händen auf dem Kopf: mitteldunkle Hautfarbe;Arme|Gesicht|Mann|Mann mit Händen auf dem Kopf|Mann mit Händen auf dem Kopf: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe
	🙆🏿‍♂️;Mann mit Händen auf dem Kopf: dunkle Hautfarbe;Arme|dunkle Hautfarbe|Gesicht|Mann|Mann mit Händen auf dem Kopf|Mann mit Händen auf dem Kopf: dunkle Hautfarbe
🙆‍♀️;Frau mit Händen auf dem Kopf;Arme|Frau|Frau mit Händen auf dem Kopf|Gesicht
	🙆🏻‍♀️;Frau mit Händen auf dem Kopf: helle Hautfarbe;Arme|Frau|Frau mit Händen auf dem Kopf|Frau mit Händen auf dem Kopf: helle Hautfarbe|Gesicht|helle Hautfarbe
	🙆🏼‍♀️;Frau mit Händen auf dem Kopf: mittelhelle Hautfarbe;Arme|Frau|Frau mit Händen auf dem Kopf|Frau mit Händen auf dem Kopf: mittelhelle Hautfarbe|Gesicht|mittelhelle Hautfarbe
	🙆🏽‍♀️;Frau mit Händen auf dem Kopf: mittlere Hautfarbe;Arme|Frau|Frau mit Händen auf dem Kopf|Frau mit Händen auf dem Kopf: mittlere Hautfarbe|Gesicht|mittlere Hautfarbe
	🙆🏾‍♀️;Frau mit Händen auf dem Kopf: mitteldunkle Hautfarbe;Arme|Frau|Frau mit Händen auf dem Kopf|Frau mit Händen auf dem Kopf: mitteldunkle Hautfarbe|Gesicht|mitteldunkle Hautfarbe
	🙆🏿‍♀️;Frau mit Händen auf dem Kopf: dunkle Hautfarbe;Arme|dunkle Hautfarbe|Frau|Frau mit Händen auf dem Kopf|Frau mit Händen auf dem Kopf: dunkle Hautfarbe|Gesicht
💁;Infoschalter-Mitarbeiter(in);Gesicht|Hilfe|Informationen|Infoschalter-Mitarbeiter(in)
	💁🏻;Infoschalter-Mitarbeiter(in): helle Hautfarbe;Gesicht|helle Hautfarbe|Hilfe|Informationen|Infoschalter-Mitarbeiter(in)|Infoschalter-Mitarbeiter(in): helle Hautfarbe
	💁🏼;Infoschalter-Mitarbeiter(in): mittelhelle Hautfarbe;Gesicht|Hilfe|Informationen|Infoschalter-Mitarbeiter(in)|Infoschalter-Mitarbeiter(in): mittelhelle Hautfarbe|mittelhelle Hautfarbe
	💁🏽;Infoschalter-Mitarbeiter(in): mittlere Hautfarbe;Gesicht|Hilfe|Informationen|Infoschalter-Mitarbeiter(in)|Infoschalter-Mitarbeiter(in): mittlere Hautfarbe|mittlere Hautfarbe
	💁🏾;Infoschalter-Mitarbeiter(in): mitteldunkle Hautfarbe;Gesicht|Hilfe|Informationen|Infoschalter-Mitarbeiter(in)|Infoschalter-Mitarbeiter(in): mitteldunkle Hautfarbe|mitteldunkle Hautfarbe
	💁🏿;Infoschalter-Mitarbeiter(in): dunkle Hautfarbe;dunkle Hautfarbe|Gesicht|Hilfe|Informationen|Infoschalter-Mitarbeiter(in)|Infoschalter-Mitarbeiter(in): dunkle Hautfarbe
💁‍♂️;Infoschalter-Mitarbeiter;Auskunft|Informationen|Infoschalter-Mitarbeiter|Mann
	💁🏻‍♂️;Infoschalter-Mitarbeiter: helle Hautfarbe;Auskunft|helle Hautfarbe|Informationen|Infoschalter-Mitarbeiter|Infoschalter-Mitarbeiter: helle Hautfarbe|Mann
	💁🏼‍♂️;Infoschalter-Mitarbeiter: mittelhelle Hautfarbe;Auskunft|Informationen|Infoschalter-Mitarbeiter|Infoschalter-Mitarbeiter: mittelhelle Hautfarbe|Mann|mittelhelle Hautfarbe
	💁🏽‍♂️;Infoschalter-Mitarbeiter: mittlere Hautfarbe;Auskunft|Informationen|Infoschalter-Mitarbeiter|Infoschalter-Mitarbeiter: mittlere Hautfarbe|Mann|mittlere Hautfarbe
	💁🏾‍♂️;Infoschalter-Mitarbeiter: mitteldunkle Hautfarbe;Auskunft|Informationen|Infoschalter-Mitarbeiter|Infoschalter-Mitarbeiter: mitteldunkle Hautfarbe|Mann|mitteldunkle Hautfarbe
	💁🏿‍♂️;Infoschalter-Mitarbeiter: dunkle Hautfarbe;Auskunft|dunkle Hautfarbe|Informationen|Infoschalter-Mitarbeiter|Infoschalter-Mitarbeiter: dunkle Hautfarbe|Mann
💁‍♀️;Infoschalter-Mitarbeiterin;Auskunft|Frau|Informationen|Infoschalter-Mitarbeiterin
	💁🏻‍♀️;Infoschalter-Mitarbeiterin: helle Hautfarbe;Auskunft|Frau|helle Hautfarbe|Informationen|Infoschalter-Mitarbeiterin|Infoschalter-Mitarbeiterin: helle Hautfarbe
	💁🏼‍♀️;Infoschalter-Mitarbeiterin: mittelhelle Hautfarbe;Auskunft|Frau|Informationen|Infoschalter-Mitarbeiterin|Infoschalter-Mitarbeiterin: mittelhelle Hautfarbe|mittelhelle Hautfarbe
	💁🏽‍♀️;Infoschalter-Mitarbeiterin: mittlere Hautfarbe;Auskunft|Frau|Informationen|Infoschalter-Mitarbeiterin|Infoschalter-Mitarbeiterin: mittlere Hautfarbe|mittlere Hautfarbe
	💁🏾‍♀️;Infoschalter-Mitarbeiterin: mitteldunkle Hautfarbe;Auskunft|Frau|Informationen|Infoschalter-Mitarbeiterin|Infoschalter-Mitarbeiterin: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe
	💁🏿‍♀️;Infoschalter-Mitarbeiterin: dunkle Hautfarbe;Auskunft|dunkle Hautfarbe|Frau|Informationen|Infoschalter-Mitarbeiterin|Infoschalter-Mitarbeiterin: dunkle Hautfarbe
🙋;Person mit erhobenem Arm;Person mit erhobenem Arm|Siegerpose
	🙋🏻;Person mit erhobenem Arm: helle Hautfarbe;helle Hautfarbe|Person mit erhobenem Arm|Person mit erhobenem Arm: helle Hautfarbe|Siegerpose
	🙋🏼;Person mit erhobenem Arm: mittelhelle Hautfarbe;mittelhelle Hautfarbe|Person mit erhobenem Arm|Person mit erhobenem Arm: mittelhelle Hautfarbe|Siegerpose
	🙋🏽;Person mit erhobenem Arm: mittlere Hautfarbe;mittlere Hautfarbe|Person mit erhobenem Arm|Person mit erhobenem Arm: mittlere Hautfarbe|Siegerpose
	🙋🏾;Person mit erhobenem Arm: mitteldunkle Hautfarbe;mitteldunkle Hautfarbe|Person mit erhobenem Arm|Person mit erhobenem Arm: mitteldunkle Hautfarbe|Siegerpose
	🙋🏿;Person mit erhobenem Arm: dunkle Hautfarbe;dunkle Hautfarbe|Person mit erhobenem Arm|Person mit erhobenem Arm: dunkle Hautfarbe|Siegerpose
🙋‍♂️;Mann mit erhobenem Arm;Geste|Mann|Mann mit erhobenem Arm|Siegerpose
	🙋🏻‍♂️;Mann mit erhobenem Arm: helle Hautfarbe;Geste|helle Hautfarbe|Mann|Mann mit erhobenem Arm|Mann mit erhobenem Arm: helle Hautfarbe|Siegerpose
	🙋🏼‍♂️;Mann mit erhobenem Arm: mittelhelle Hautfarbe;Geste|Mann|Mann mit erhobenem Arm|Mann mit erhobenem Arm: mittelhelle Hautfarbe|mittelhelle Hautfarbe|Siegerpose
